Player,Tm,Fumbles Fmb,Fumbles FL,week,year,game_id
Jared Goff,DET,1,1,16.0,2022,228
D'Andre Swift,DET,0,0,16.0,2022,228
Jamaal Williams,DET,0,0,16.0,2022,228
Kalif Raymond,DET,0,0,16.0,2022,228
DJ Chark,DET,0,0,16.0,2022,228
Amon-Ra St. Brown,DET,0,0,16.0,2022,228
Josh Reynolds,DET,0,0,16.0,2022,228
James Mitchell,DET,0,0,16.0,2022,228
Shane Zylstra,DET,0,0,16.0,2022,228
Brock Wright,DET,0,0,16.0,2022,228
Jameson Williams,DET,0,0,16.0,2022,228
Justin Jackson,DET,0,0,16.0,2022,228
Sam Darnold,CAR,0,0,16.0,2022,228
D'Onta Foreman,CAR,0,0,16.0,2022,228
Chuba Hubbard,CAR,0,0,16.0,2022,228
D.J. Moore,CAR,0,0,16.0,2022,228
Raheem Blackshear,CAR,0,0,16.0,2022,228
Terrace Marshall Jr.,CAR,0,0,16.0,2022,228
Laviska Shenault Jr.,CAR,0,0,16.0,2022,228
Tommy Tremble,CAR,0,0,16.0,2022,228
Shi Smith,CAR,1,0,16.0,2022,228
Ian Thomas,CAR,0,0,16.0,2022,228
