Quarter,Time,Down,ToGo,Location,PHI,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Eagles to receive the opening kickoff.",,,16.0,2022,235
1.0,15:00,,,DAL 35,0.0,0.0,"Brett Maher kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,235
1.0,15:00,1.0,10.0,PHI 25,0.0,0.0,Miles Sanders right tackle for 7 yards (tackle by Donovan Wilson),0.61,1.01,16.0,2022,235
1.0,14:24,2.0,3.0,PHI 32,0.0,0.0,Gardner Minshew pass complete short left to A.J. Brown for 9 yards (tackle by Trevon Diggs),1.01,1.66,16.0,2022,235
1.0,13:59,1.0,10.0,PHI 41,0.0,0.0,Gardner Minshew pass complete deep right to A.J. Brown for 48 yards (tackle by Jayron Kearse),1.66,4.84,16.0,2022,235
1.0,13:21,1.0,10.0,DAL 11,0.0,0.0,Miles Sanders right tackle for 1 yard (tackle by Osa Odighizuwa and Carlos Watkins),4.84,4.32,16.0,2022,235
1.0,12:41,2.0,9.0,DAL 10,0.0,0.0,Miles Sanders left guard for no gain (tackle by Donovan Wilson and Anthony Barr),4.32,3.3,16.0,2022,235
1.0,12:00,3.0,9.0,DAL 10,0.0,0.0,Gardner Minshew scrambles right end for 3 yards (tackle by Micah Parsons and Nahshon Wright),3.3,2.98,16.0,2022,235
1.0,11:18,4.0,6.0,DAL 7,3.0,0.0,Jake Elliott 25 yard field goal good,2.98,3.0,16.0,2022,235
1.0,11:16,,,PHI 35,3.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,235
1.0,11:16,1.0,10.0,DAL 25,3.0,0.0,Ezekiel Elliott up the middle for 1 yard (tackle by Reed Blankenship and Linval Joseph),0.61,0.2,16.0,2022,235
1.0,10:45,2.0,9.0,DAL 26,3.0,0.0,Ezekiel Elliott up the middle for 4 yards (tackle by Fletcher Cox),0.2,0.04,16.0,2022,235
1.0,10:21,3.0,5.0,DAL 30,3.0,0.0,Dak Prescott pass complete short left to Ezekiel Elliott for 6 yards (tackle by Reed Blankenship),0.04,1.33,16.0,2022,235
1.0,10:06,1.0,10.0,DAL 36,3.0,0.0,Dak Prescott pass complete short right to Tony Pollard for 11 yards (tackle by T.J. Edwards),1.33,2.06,16.0,2022,235
1.0,9:28,1.0,10.0,DAL 47,9.0,0.0,"Dak Prescott pass short left intended for Dalton Schultz is intercepted by Josh Sweat at DAL-42 and returned for 42 yards, touchdown",2.06,-7.0,16.0,2022,235
1.0,9:18,,,DAL 15,10.0,0.0,Jake Elliott kicks extra point good,0.0,0.0,16.0,2022,235
1.0,9:18,,,PHI 35,10.0,0.0,"Jake Elliott kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,235
1.0,9:18,1.0,10.0,DAL 25,10.0,0.0,Ezekiel Elliott up the middle for no gain (tackle by Milton Williams),0.61,0.06,16.0,2022,235
1.0,8:45,2.0,10.0,DAL 25,10.0,0.0,Dak Prescott pass complete short right to CeeDee Lamb for 5 yards (tackle by Avonte Maddox),0.06,0.04,16.0,2022,235
1.0,8:21,3.0,5.0,DAL 30,10.0,0.0,Dak Prescott scrambles right end for 13 yards (tackle by Marcus Epps),0.04,1.8,16.0,2022,235
1.0,7:47,1.0,10.0,DAL 43,10.0,0.0,Tony Pollard up the middle for -1 yards (tackle by Avonte Maddox),1.8,1.12,16.0,2022,235
