Player,Tm,Passing Cmp,Passing Att,Passing Yds,Passing TD,Passing Int,Passing Sk,Passing Yds.1,Passing Lng,Passing Rate,week,year,game_id
Aaron Rodgers,GNB,24,38,238,1,1,2,16,42,78.6,16.0,2022,237
AJ Dillon,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Aaron Jones,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Allen Lazard,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Christian Watson,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Romeo Doubs,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Marcedes Lewis,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Patrick Taylor,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Robert Tonyan,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Randall Cobb,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Josiah Deguara,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Dallin Leavitt,GNB,0,0,0,0,0,0,0,0,,16.0,2022,237
Tua Tagovailoa,MIA,16,25,310,1,3,2,16,84,80.8,16.0,2022,237
Raheem Mostert,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Jeff Wilson,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Jaylen Waddle,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Tyreek Hill,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Trent Sherfield,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Mike Gesicki,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Durham Smythe,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
Alec Ingold,MIA,0,0,0,0,0,0,0,0,,16.0,2022,237
