Quarter,Time,Down,ToGo,Location,TAM,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cardinals won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,16.0,2022,239
1,15:00,,,ARI 35,0.0,0.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,239
1,15:00,1.0,10.0,TAM 25,0.0,0.0,"Tom Brady pass incomplete. Penalty on Antonio Hamilton: Defensive Pass Interference, 30 yards (accepted) (no play)",0.61,2.59,16.0,2022,239
1,14:54,1.0,10.0,ARI 45,0.0,0.0,Rachaad White left tackle for 18 yards (tackle by Jalen Thompson),2.59,3.78,16.0,2022,239
1,14:12,1.0,10.0,ARI 27,0.0,0.0,Rachaad White up the middle for 7 yards (tackle by Zaven Collins),3.78,4.18,16.0,2022,239
1,13:36,2.0,3.0,ARI 20,0.0,0.0,Tom Brady pass incomplete short left intended for Cade Otton (defended by Myjai Sanders),4.18,3.47,16.0,2022,239
1,13:32,3.0,3.0,ARI 20,0.0,0.0,Tom Brady pass incomplete deep right intended for Julio Jones,3.47,2.22,16.0,2022,239
1,13:27,4.0,3.0,ARI 20,3.0,0.0,Ryan Succop 38 yard field goal good,2.22,3.0,16.0,2022,239
1,13:23,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,239
1,13:23,1.0,10.0,ARI 25,3.0,0.0,Trace McSorley pass complete short left to James Conner for -2 yards (tackle by Mike Edwards and Devin White),0.61,-0.21,16.0,2022,239
1,12:53,2.0,12.0,ARI 23,3.0,0.0,Trace McSorley pass complete short right to Greg Dortch for 11 yards,-0.21,0.56,16.0,2022,239
1,12:21,3.0,1.0,ARI 34,3.0,0.0,Greg Dortch right end for 3 yards (tackle by Antoine Winfield),0.56,1.4,16.0,2022,239
1,11:46,1.0,10.0,ARI 37,3.0,0.0,Trace McSorley left end for 4 yards (tackle by Lavonte David),1.4,1.26,16.0,2022,239
1,11:28,2.0,7.0,ARI 40,3.0,0.0,James Conner right tackle for 4 yards (tackle by Rakeem Nunez-Roches and Logan Ryan),1.26,1.22,16.0,2022,239
1,10:50,3.0,2.0,ARI 45,3.0,0.0,Trace McSorley pass incomplete deep right intended for Marquise Brown (defended by Carlton Davis),1.22,-0.39,16.0,2022,239
1,10:45,4.0,2.0,ARI 45,3.0,0.0,Andy Lee pass complete short right to Kamu Grugier-Hill for 4 yards (tackle by Dee Delaney),-0.39,2.19,16.0,2022,239
1,9:58,1.0,10.0,ARI 49,3.0,0.0,James Conner up the middle for 11 yards (tackle by Logan Ryan),2.19,2.92,16.0,2022,239
1,9:33,1.0,10.0,TAM 40,3.0,0.0,Trace McSorley pass complete deep middle to Greg Dortch for 23 yards (tackle by Carlton Davis and Antoine Winfield),2.92,4.44,16.0,2022,239
1,9:05,1.0,10.0,TAM 17,3.0,0.0,Keaontay Ingram right end for 2 yards (tackle by Lavonte David),4.44,4.15,16.0,2022,239
1,8:33,2.0,8.0,TAM 15,3.0,0.0,Trace McSorley scrambles right end for 2 yards (tackle by Joe Tryon-Shoyinka and Anthony Nelson),4.15,3.68,16.0,2022,239
1,7:47,,,,,,Timeout #1 by Arizona Cardinals,,,16.0,2022,239
1,7:47,3.0,6.0,TAM 13,3.0,0.0,"Trace McSorley sacked by Anthony Nelson for -17 yards. Trace McSorley fumbles (forced by Anthony Nelson), recovered by Devin White at TB-30 and returned for 13 yards (tackle by Trey McBride)",3.68,-1.8,16.0,2022,239
1,7:38,1.0,10.0,TAM 43,3.0,0.0,"Penalty on Josh Wells: False Start, 5 yards (accepted) (no play)",1.8,1.47,16.0,2022,239
1,7:38,1.0,15.0,TAM 38,3.0,0.0,Leonard Fournette right tackle for 14 yards (tackle by Ben Niemann and Isaiah Simmons),1.47,2.47,16.0,2022,239
1,6:51,2.0,1.0,ARI 48,3.0,0.0,Leonard Fournette up the middle for no gain (tackle by J.J. Watt),2.47,1.75,16.0,2022,239
1,6:21,3.0,1.0,ARI 48,3.0,0.0,Leonard Fournette up the middle for no gain (tackle by J.J. Watt and Markus Golden),1.75,0.07,16.0,2022,239
1,5:44,4.0,1.0,ARI 48,3.0,0.0,Leonard Fournette right tackle for -1 yards (tackle by Tanner Vallejo and Markus Golden),0.07,-2.19,16.0,2022,239
1,5:37,1.0,10.0,ARI 49,3.0,0.0,"James Conner left tackle for no gain (tackle by Joe Tryon-Shoyinka). Penalty on Max Garcia: Offensive Holding, 10 yards (accepted) (no play)",2.19,1.53,16.0,2022,239
1,5:24,1.0,20.0,ARI 39,3.0,0.0,Trace McSorley pass complete short left to James Conner for 3 yards (tackle by Sean Murphy-Bunting and Logan Ryan),1.53,0.7,16.0,2022,239
1,4:58,2.0,17.0,ARI 42,3.0,0.0,Trace McSorley pass incomplete deep left intended for DeAndre Hopkins,0.7,0.04,16.0,2022,239
1,4:52,3.0,17.0,ARI 42,3.0,0.0,Trace McSorley pass complete short left to Greg Dortch for 9 yards (tackle by Sean Murphy-Bunting),0.04,-0.13,16.0,2022,239
1,4:05,4.0,10.0,ARI 49,3.0,0.0,"Andy Lee punts 39 yards, fair catch by Deven Thompkins at TB-10",-0.13,0.38,16.0,2022,239
1,3:59,1.0,10.0,TAM 10,3.0,0.0,Tom Brady pass complete short left to Russell Gage for 10 yards (tackle by Jalen Thompson),-0.38,0.28,16.0,2022,239
1,3:26,1.0,10.0,TAM 20,3.0,0.0,Rachaad White up the middle for -1 yards (tackle by J.J. Watt),0.28,-0.46,16.0,2022,239
1,2:48,2.0,11.0,TAM 19,3.0,0.0,Tom Brady pass complete short left to Mike Evans for 5 yards (tackle by Jalen Thompson and Marco Wilson),-0.46,-0.43,16.0,2022,239
1,2:02,3.0,6.0,TAM 24,3.0,0.0,Tom Brady pass incomplete short left intended for Cade Otton,-0.43,-1.77,16.0,2022,239
1,1:58,4.0,6.0,TAM 24,3.0,0.0,"Jake Camarda punts 46 yards, returned by Pharoh Cooper for 9 yards (tackle by Cade Otton)",-1.77,-1.53,16.0,2022,239
1,1:47,1.0,10.0,ARI 39,3.0,0.0,Greg Dortch left end for 20 yards (tackle by Antoine Winfield and Lavonte David),1.53,2.85,16.0,2022,239
1,1:19,1.0,10.0,TAM 41,3.0,0.0,Trace McSorley pass incomplete deep left intended for DeAndre Hopkins,2.85,2.31,16.0,2022,239
1,1:13,2.0,10.0,TAM 41,3.0,0.0,Trace McSorley pass incomplete short left intended for Stephen Anderson,2.31,1.62,16.0,2022,239
1,1:10,3.0,10.0,TAM 41,3.0,0.0,Trace McSorley scrambles right end for 3 yards (tackle by Lavonte David),1.62,0.79,16.0,2022,239
1,0:37,4.0,6.0,TAM 37,3.0,3.0,Matt Prater 56 yard field goal good,0.79,3.0,16.0,2022,239
1,0:32,,,ARI 35,3.0,3.0,"Matt Prater kicks off 65 yards, touchback.",0.0,0.61,16.0,2022,239
1,0:32,1.0,10.0,TAM 25,3.0,3.0,Tom Brady pass complete short left to Leonard Fournette for 5 yards (tackle by Kamu Grugier-Hill and Myjai Sanders),0.61,0.74,16.0,2022,239
2,15:00,2.0,5.0,TAM 30,3.0,3.0,Leonard Fournette up the middle for 3 yards (tackle by Zaven Collins and Myjai Sanders),0.74,0.43,16.0,2022,239
2,14:16,3.0,2.0,TAM 33,3.0,3.0,Tom Brady pass complete short right to Chris Godwin for 5 yards (tackle by Isaiah Simmons),0.43,1.47,16.0,2022,239
2,13:56,1.0,10.0,TAM 38,3.0,3.0,Tom Brady pass incomplete deep left intended for Scott Miller,1.47,0.92,16.0,2022,239
2,13:51,2.0,10.0,TAM 38,3.0,3.0,Leonard Fournette right end for 23 yards (tackle by Jalen Thompson),0.92,2.98,16.0,2022,239
