Player,Tm,Rushing Att,Rushing Yds,Rushing TD,Rushing Lng,week,year,game_id
Davis Mills,HOU,4,8,0,5,16.0,2022,231
Jeff Driskel,HOU,2,2,0,2,16.0,2022,231
Royce Freeman,HOU,16,32,0,5,16.0,2022,231
Dare Ogunbowale,HOU,8,28,0,8,16.0,2022,231
Phillip Dorsett,HOU,0,0,0,0,16.0,2022,231
Jordan Akins,HOU,0,0,0,0,16.0,2022,231
Amari Rodgers,HOU,0,0,0,0,16.0,2022,231
Brandin Cooks,HOU,0,0,0,0,16.0,2022,231
Chris Moore,HOU,0,0,0,0,16.0,2022,231
Brevin Jordan,HOU,0,0,0,0,16.0,2022,231
Rex Burkhead,HOU,0,0,0,0,16.0,2022,231
Troy Hairston,HOU,0,0,0,0,16.0,2022,231
Teagan Quitoriano,HOU,0,0,0,0,16.0,2022,231
Malik Willis,TEN,7,43,1,14,16.0,2022,231
Derrick Henry,TEN,23,126,1,48,16.0,2022,231
Treylon Burks,TEN,1,15,0,15,16.0,2022,231
Robert Woods,TEN,0,0,0,0,16.0,2022,231
Nick Westbrook-Ikhine,TEN,0,0,0,0,16.0,2022,231
Austin Hooper,TEN,0,0,0,0,16.0,2022,231
Hassan Haskins,TEN,0,0,0,0,16.0,2022,231
Chigoziem Okonkwo,TEN,0,0,0,0,16.0,2022,231
Geoff Swaim,TEN,0,0,0,0,16.0,2022,231
