Quarter,Time,Tm,Detail,SEA,KAN,week,year,game_id
1.0,6:41,Chiefs,Kadarius Toney 8 yard pass from Patrick Mahomes (Harrison Butker kick),0,7,16.0,2022,232
2.0,8:56,Chiefs,Jerick McKinnon 9 yard pass from Patrick Mahomes (Harrison Butker kick),0,14,16.0,2022,232
,2:40,Chiefs,Harrison Butker 47 yard field goal,0,17,16.0,2022,232
,0:00,Seahawks,Jason Myers 22 yard field goal,3,17,16.0,2022,232
4.0,4:42,Chiefs,Patrick Mahomes 3 yard rush (Harrison Butker kick),3,24,16.0,2022,232
,2:25,Seahawks,Noah Fant 6 yard pass from Geno Smith (Jason Myers kick),10,24,16.0,2022,232
