Unnamed: 0,ATL,BAL,week,year,game_id
First Downs,17,15,16.0,2022,226
Rush-Yds-TDs,33-115-0,34-184-0,16.0,2022,226
Cmp-Att-Yd-TD-INT,22-33-218-0-0,9-17-115-1-0,16.0,2022,226
Sacked-Yards,2-6,0-0,16.0,2022,226
Net Pass Yards,212,115,16.0,2022,226
Total Yards,327,299,16.0,2022,226
Fumbles-Lost,2-1,1-0,16.0,2022,226
Turnovers,1,0,16.0,2022,226
Penalties-Yards,5-48,1-6,16.0,2022,226
Third Down Conv.,5-14,4-12,16.0,2022,226
Fourth Down Conv.,1-4,0-0,16.0,2022,226
Time of Possession,32:44,27:16,16.0,2022,226
