Unnamed: 0,JAX,NYJ,week,year,game_id
First Downs,19,10,16.0,2022,225
Rush-Yds-TDs,39-147-1,20-66-0,16.0,2022,225
Cmp-Att-Yd-TD-INT,20-31-229-0-0,19-33-182-0-1,16.0,2022,225
Sacked-Yards,1-11,3-21,16.0,2022,225
Net Pass Yards,218,161,16.0,2022,225
Total Yards,365,227,16.0,2022,225
Fumbles-Lost,1-1,2-1,16.0,2022,225
Turnovers,1,2,16.0,2022,225
Penalties-Yards,3-25,9-64,16.0,2022,225
Third Down Conv.,7-16,2-13,16.0,2022,225
Fourth Down Conv.,0-0,1-5,16.0,2022,225
Time of Possession,34:52,25:08,16.0,2022,225
