Unnamed: 0,BUF,CHI,week,year,game_id
First Downs,20,11,16.0,2022,227
Rush-Yds-TDs,31-254-3,29-80-0,16.0,2022,227
Cmp-Att-Yd-TD-INT,15-26-172-2-2,18-28-144-1-1,16.0,2022,227
Sacked-Yards,1-0,2-15,16.0,2022,227
Net Pass Yards,172,129,16.0,2022,227
Total Yards,426,209,16.0,2022,227
Fumbles-Lost,3-1,2-1,16.0,2022,227
Turnovers,3,2,16.0,2022,227
Penalties-Yards,9-72,2-15,16.0,2022,227
Third Down Conv.,6-11,2-12,16.0,2022,227
Fourth Down Conv.,1-1,1-4,16.0,2022,227
Time of Possession,28:48,31:12,16.0,2022,227
