#,Quarter,Time,LOS,Plays,Length,Net Yds,Result,home_team,team,week,year,game_id
1,1,15:00,CLE 40,3,1:35,2,Punt,1,Browns,16.0,2022,230
2,1,11:53,NOR 49,3,1:19,6,Punt,1,Browns,16.0,2022,230
3,1,5:10,CLE 3,3,1:32,2,Punt,1,Browns,16.0,2022,230
4,1,2:44,NOR 30,5,2:49,30,Touchdown,1,Browns,16.0,2022,230
5,2,12:51,CLE 28,17,8:44,60,Field Goal,1,Browns,16.0,2022,230
6,3,9:40,CLE 29,5,3:17,21,Punt,1,Browns,16.0,2022,230
7,3,4:13,CLE 43,2,1:18,-1,Interception,1,Browns,16.0,2022,230
8,3,0:55,CLE 41,6,2:29,17,Punt,1,Browns,16.0,2022,230
9,4,9:41,CLE 10,6,2:46,29,Downs,1,Browns,16.0,2022,230
10,4,5:16,CLE 20,18,4:57,58,Downs,1,Browns,16.0,2022,230
