Unnamed: 0,HOU,TEN,week,year,game_id
First Downs,15,16,16.0,2022,231
Rush-Yds-TDs,30-70-0,31-184-2,16.0,2022,231
Cmp-Att-Yd-TD-INT,20-32-218-1-1,14-23-99-0-2,16.0,2022,231
Sacked-Yards,1-3,4-11,16.0,2022,231
Net Pass Yards,215,88,16.0,2022,231
Total Yards,285,272,16.0,2022,231
Fumbles-Lost,2-0,2-1,16.0,2022,231
Turnovers,1,3,16.0,2022,231
Penalties-Yards,4-35,5-30,16.0,2022,231
Third Down Conv.,5-14,4-12,16.0,2022,231
Fourth Down Conv.,0-1,1-2,16.0,2022,231
Time of Possession,33:03,26:57,16.0,2022,231
