Quarter,Time,Down,ToGo,Location,HOU,TEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Texans won the coin toss and deferred, Titans to receive the opening kickoff.",,,16.0,2022,231
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 53 yards, returned by Julius Chestnut for 15 yards (tackle by Tremon Smith)",0.0,0.74,16.0,2022,231
1.0,14:46,1.0,10.0,TEN 27,0.0,0.0,Derrick Henry right end for 2 yards (tackle by Jalen Pitre),0.74,0.47,16.0,2022,231
1.0,14:20,2.0,8.0,TEN 29,0.0,0.0,Malik Willis pass complete short right to Derrick Henry for -5 yards (tackle by Maliek Collins and Roy Lopez),0.47,-0.89,16.0,2022,231
1.0,13:47,3.0,13.0,TEN 24,0.0,0.0,Malik Willis sacked by Ogbonnia Okoronkwo for -6 yards,-0.89,-2.24,16.0,2022,231
1.0,13:08,4.0,19.0,TEN 18,0.0,0.0,"Ryan Stonehouse punts 56 yards, returned by Desmond King for no gain (tackle by Davontae Harris)",-2.24,-0.67,16.0,2022,231
1.0,12:55,1.0,10.0,HOU 26,0.0,0.0,Royce Freeman right tackle for 2 yards (tackle by Joshua Kalu and Andrew Adams),0.67,0.4,16.0,2022,231
1.0,12:17,2.0,8.0,HOU 28,0.0,0.0,Davis Mills pass incomplete short middle intended for Brandin Cooks (defended by Teair Tart),0.4,-0.3,16.0,2022,231
1.0,12:07,3.0,8.0,HOU 28,0.0,0.0,Davis Mills pass incomplete deep middle intended for Teagan Quitoriano,-0.3,-1.5,16.0,2022,231
1.0,12:07,4.0,8.0,HOU 28,0.0,0.0,"Cameron Johnston punts 38 yards, returned by Robert Woods for 6 yards (tackle by Neville Hewitt)",-1.5,-1.6,16.0,2022,231
1.0,11:57,1.0,10.0,TEN 40,0.0,0.0,Derrick Henry left tackle for 5 yards (tackle by Christian Harris and Desmond King),1.6,1.73,16.0,2022,231
1.0,11:18,2.0,5.0,TEN 45,0.0,0.0,Derrick Henry left end for no gain (tackle by Jalen Pitre) (no play),1.73,1.05,16.0,2022,231
1.0,11:11,2.0,10.0,TEN 40,0.0,0.0,Malik Willis sacked by Jonathan Owens for no gain,1.05,0.43,16.0,2022,231
1.0,10:15,3.0,9.0,TEN 40,0.0,0.0,Malik Willis pass complete short left to Nick Westbrook-Ikhine for 9 yards (tackle by Tavierre Thomas),0.43,-0.13,16.0,2022,231
