Unnamed: 0,DEN,LAR,week,year,game_id
First Downs,18,26,16.0,2022,238
Rush-Yds-TDs,20-104-0,36-158-3,16.0,2022,238
Cmp-Att-Yd-TD-INT,19-35-259-1-4,24-28-230-2-0,16.0,2022,238
Sacked-Yards,6-40,0-0,16.0,2022,238
Net Pass Yards,219,230,16.0,2022,238
Total Yards,323,388,16.0,2022,238
Fumbles-Lost,0-0,1-0,16.0,2022,238
Turnovers,4,0,16.0,2022,238
Penalties-Yards,6-55,3-6,16.0,2022,238
Third Down Conv.,3-10,6-10,16.0,2022,238
Fourth Down Conv.,1-3,1-1,16.0,2022,238
Time of Possession,23:25,36:35,16.0,2022,238
