Quarter,Time,Down,ToGo,Location,LAC,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Colts won the coin toss, Colts to receive the opening kickoff.",,,16.0,2022,240
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 68 yards, returned by Dallis Flowers for 31 yards (tackle by Amen Ogbongbemiga)",0.0,0.81,16.0,2022,240
1.0,14:55,1.0,10.0,IND 28,0.0,0.0,Zack Moss right guard for 2 yards (tackle by Morgan Fox),0.81,0.53,16.0,2022,240
1.0,14:20,2.0,8.0,IND 30,0.0,0.0,Nick Foles pass complete short right to Mo Alie-Cox for 2 yards (tackle by Michael Davis),0.53,0.1,16.0,2022,240
1.0,13:37,3.0,6.0,IND 32,0.0,0.0,Nick Foles pass incomplete short right intended for Alec Pierce,0.1,-1.24,16.0,2022,240
1.0,13:31,4.0,6.0,IND 32,0.0,0.0,"Matt Haack punts 50 yards, returned by DeAndre Carter for 16 yards (tackle by Ashton Dulin and JoJo Domann)",-1.24,-1.2,16.0,2022,240
1.0,13:20,1.0,10.0,LAC 34,0.0,0.0,Austin Ekeler right end for 3 yards (tackle by Bobby Okereke),1.2,1.06,16.0,2022,240
1.0,12:47,2.0,7.0,LAC 37,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Bobby Okereke),1.06,1.16,16.0,2022,240
1.0,12:26,3.0,1.0,LAC 43,0.0,0.0,Joshua Kelley right tackle for no gain (tackle by DeForest Buckner and Stephon Gilmore),1.16,-0.52,16.0,2022,240
1.0,11:48,4.0,1.0,LAC 43,0.0,0.0,"JK Scott punts 42 yards, fair catch by Dallis Flowers at IND-15",-0.52,0.22,16.0,2022,240
1.0,11:39,1.0,10.0,IND 15,0.0,0.0,Nick Foles pass complete short middle to Jelani Woods for 15 yards (tackle by Michael Davis),-0.22,0.94,16.0,2022,240
1.0,11:02,1.0,10.0,IND 30,0.0,0.0,Zack Moss right end for 5 yards (tackle by Michael Davis),0.94,1.07,16.0,2022,240
1.0,10:24,2.0,5.0,IND 35,0.0,0.0,Nick Foles pass complete short left to Jelani Woods for 17 yards (tackle by Drue Tranquill),1.07,2.39,16.0,2022,240
1.0,9:44,1.0,10.0,LAC 48,0.0,0.0,Zack Moss up the middle for 6 yards (tackle by Drue Tranquill and Morgan Fox),2.39,2.66,16.0,2022,240
1.0,9:03,2.0,4.0,LAC 42,0.0,0.0,Nick Foles pass incomplete deep left intended for Jelani Woods,2.66,1.95,16.0,2022,240
1.0,8:55,3.0,4.0,LAC 42,0.0,0.0,Nick Foles pass incomplete deep left intended for Mo Alie-Cox,1.95,0.46,16.0,2022,240
1.0,8:45,4.0,4.0,LAC 42,0.0,0.0,"Nick Foles pass complete to Alec Pierce for 3 yards (tackle by Asante Samuel) IND challenged the short of the line to gain ruling, and the original play was overturned. Nick Foles pass complete short right to Alec Pierce for 4 yards (tackle by Asante Samuel)",0.46,3.05,16.0,2022,240
1.0,8:40,1.0,10.0,LAC 38,0.0,0.0,Nick Foles pass deep right intended for Jelani Woods is intercepted by Michael Davis at LAC-11 and returned for 30 yards (tackle by Jelani Woods),3.05,-1.66,16.0,2022,240
1.0,8:13,1.0,10.0,LAC 41,0.0,0.0,Justin Herbert pass complete short left to Donald Parham for 8 yards (tackle by Julian Blackmon and Isaiah Rodgers),1.66,2.2,16.0,2022,240
1.0,7:40,2.0,2.0,LAC 49,0.0,0.0,Justin Herbert pass incomplete short middle intended for Tre' McKitty,2.2,1.49,16.0,2022,240
1.0,7:34,3.0,2.0,LAC 49,0.0,0.0,Justin Herbert pass short left intended for Keenan Allen is intercepted by Rodney Thomas at IND-42 and returned for 5 yards (tackle by Keenan Allen),1.49,-2.06,16.0,2022,240
1.0,7:28,1.0,10.0,IND 47,0.0,0.0,Nick Foles pass complete short left to Parris Campbell for 7 yards (tackle by Bryce Callahan),2.06,2.46,16.0,2022,240
1.0,6:49,2.0,3.0,LAC 46,0.0,0.0,Nick Foles pass complete short left to Alec Pierce for 7 yards (tackle by Michael Davis),2.46,2.98,16.0,2022,240
1.0,6:16,1.0,10.0,LAC 39,0.0,0.0,Zack Moss up the middle for 5 yards (tackle by Drue Tranquill and Derwin James),2.98,3.12,16.0,2022,240
1.0,5:41,2.0,5.0,LAC 34,0.0,0.0,Nick Foles pass complete short left to Deon Jackson for -9 yards (tackle by Kyle Van Noy),3.12,1.22,16.0,2022,240
1.0,4:55,3.0,14.0,LAC 43,0.0,0.0,Nick Foles pass short right intended for Parris Campbell is intercepted by Derwin James at LAC-33 and returned for no gain,1.22,-1.14,16.0,2022,240
1.0,4:48,1.0,10.0,LAC 33,0.0,0.0,Justin Herbert sacked by DeForest Buckner for -5 yards,1.14,-0.08,16.0,2022,240
1.0,4:12,2.0,15.0,LAC 28,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 6 yards (tackle by Julian Blackmon),-0.08,0.04,16.0,2022,240
1.0,3:35,3.0,9.0,LAC 34,0.0,0.0,"Justin Herbert pass complete to Keenan Allen for 12 yards IND challenged the pass completion ruling, and the original play was overturned. Justin Herbert pass incomplete short middle intended for Keenan Allen",0.04,-1.11,16.0,2022,240
1.0,3:33,4.0,9.0,LAC 34,0.0,0.0,JK Scott punts 36 yards out of bounds,-1.11,-0.94,16.0,2022,240
1.0,3:25,1.0,10.0,IND 30,0.0,0.0,Zack Moss right tackle for 4 yards (tackle by Sebastian Joseph-Day),0.94,0.93,16.0,2022,240
1.0,2:50,2.0,6.0,IND 34,0.0,0.0,Nick Foles sacked by Drue Tranquill for no gain,0.93,0.23,16.0,2022,240
1.0,2:02,3.0,6.0,IND 34,0.0,0.0,Nick Foles sacked by Kenneth Murray for -8 yards,0.23,-1.63,16.0,2022,240
1.0,1:18,4.0,14.0,IND 26,0.0,0.0,"Matt Haack punts 43 yards, returned by DeAndre Carter for 9 yards (tackle by Grant Stuard). Penalty on Ja'Sir Taylor: Offensive Holding, 10 yards (accepted)",-1.63,-0.94,16.0,2022,240
1.0,1:07,1.0,10.0,LAC 30,0.0,0.0,Justin Herbert pass complete short middle to Keenan Allen for 15 yards (tackle by Rodney Thomas),0.94,1.93,16.0,2022,240
1.0,0:33,1.0,10.0,LAC 45,0.0,0.0,Austin Ekeler right tackle for -1 yards (tackle by Kwity Paye),1.93,1.25,16.0,2022,240
2.0,15:00,2.0,11.0,LAC 44,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 4 yards (tackle by Bobby Okereke),1.25,1.09,16.0,2022,240
2.0,14:25,3.0,7.0,LAC 48,0.0,0.0,Justin Herbert pass complete short left to Josh Palmer for 8 yards (tackle by Zaire Franklin and Julian Blackmon),1.09,2.65,16.0,2022,240
2.0,13:45,1.0,10.0,IND 44,0.0,0.0,Justin Herbert sacked by Dayo Odeyingbo for -11 yards,2.65,0.63,16.0,2022,240
2.0,13:04,2.0,21.0,LAC 45,0.0,0.0,Justin Herbert pass complete short right to Keenan Allen for 8 yards (tackle by Julian Blackmon),0.63,1.03,16.0,2022,240
2.0,12:28,3.0,13.0,IND 47,0.0,0.0,Justin Herbert pass complete short left to Mike Williams for 16 yards (tackle by Brandon Facyson),1.03,3.51,16.0,2022,240
2.0,11:46,1.0,10.0,IND 31,0.0,0.0,Joshua Kelley right guard for 1 yard (tackle by Julian Blackmon),3.51,3.1,16.0,2022,240
2.0,11:14,2.0,9.0,IND 30,0.0,0.0,Justin Herbert pass complete short right to Mike Williams for 18 yards (tackle by Rodney Thomas),3.1,4.78,16.0,2022,240
2.0,10:35,1.0,10.0,IND 12,0.0,0.0,Austin Ekeler left guard for 7 yards (tackle by Rodney McLeod),4.78,5.41,16.0,2022,240
2.0,10:02,2.0,3.0,IND 5,0.0,0.0,Austin Ekeler left guard for 2 yards (tackle by Stephon Gilmore and Rodney McLeod),5.41,5.06,16.0,2022,240
