Unnamed: 0_level_0,Unnamed: 1_level_0,Fumbles,Fumbles,week,year,game_id
Player,Tm,Fmb,FL,,,
Jared Goff,DET,0,0,4.0,2023,49
David Montgomery,DET,0,0,4.0,2023,49
Jahmyr Gibbs,DET,0,0,4.0,2023,49
Kalif Raymond,DET,0,0,4.0,2023,49
Josh Reynolds,DET,0,0,4.0,2023,49
Amon-Ra St. Brown,DET,0,0,4.0,2023,49
Sam LaPorta,DET,0,0,4.0,2023,49
Marvin Jones,DET,0,0,4.0,2023,49
Jordan Love,GNB,1,0,4.0,2023,49
Aaron Jones,GNB,0,0,4.0,2023,49
AJ Dillon,GNB,0,0,4.0,2023,49
Romeo Doubs,GNB,0,0,4.0,2023,49
Jayden Reed,GNB,1,0,4.0,2023,49
Samori Toure,GNB,0,0,4.0,2023,49
Josiah Deguara,GNB,0,0,4.0,2023,49
Christian Watson,GNB,0,0,4.0,2023,49
Tucker Kraft,GNB,0,0,4.0,2023,49
Luke Musgrave,GNB,0,0,4.0,2023,49
Dontayvion Wicks,GNB,0,0,4.0,2023,49
