Quarter,Time,Down,ToGo,Location,NWE,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jaguars won the coin toss and deferred, Patriots to receive the opening kickoff.",,,7.0,2024,94
1.0,15:00,,,JAX 35,0.0,0.0,"Cam Little kicks off 62 yards, returned by Antonio Gibson for 29 yards (tackle by Yasir Abdullah)",0.0,1.07,7.0,2024,94
1.0,14:55,1.0,10.0,NWE 32,0.0,0.0,Drake Maye scrambles right guard for 2 yards (tackle by Travon Walker),1.07,0.8,7.0,2024,94
1.0,14:23,2.0,8.0,NWE 34,0.0,0.0,Drake Maye pass complete short left to Demario Douglas for 5 yards (tackle by Jarrian Jones),0.8,0.76,7.0,2024,94
1.0,13:48,3.0,3.0,NWE 39,0.0,0.0,Drake Maye pass complete short left to Demario Douglas for 9 yards (tackle by Ronald Darby),0.76,2.13,7.0,2024,94
1.0,13:05,1.0,10.0,NWE 48,0.0,0.0,Drake Maye pass incomplete deep right intended for Ja'Lynn Polk (defended by Ronald Darby),2.13,1.58,7.0,2024,94
1.0,12:58,2.0,10.0,NWE 48,0.0,0.0,Drake Maye pass complete short right to Hunter Henry for 18 yards (tackle by Andre Cisco and Devin Lloyd),1.58,3.31,7.0,2024,94
1.0,12:13,1.0,10.0,JAX 34,0.0,0.0,Rhamondre Stevenson right guard for 3 yards (tackle by Devin Lloyd),3.31,3.18,7.0,2024,94
1.0,11:31,2.0,7.0,JAX 31,0.0,0.0,"Drake Maye scrambles left tackle for no gain (tackle by Devin Lloyd). Penalty on Demario Douglas: Illegal Shift, 5 yards (accepted) (no play)",3.18,2.5,7.0,2024,94
1.0,11:10,2.0,12.0,JAX 36,0.0,0.0,Drake Maye pass complete short middle to Antonio Gibson for 9 yards (tackle by Tyler Lacy and Ventrell Miller),2.5,3.01,7.0,2024,94
1.0,10:52,3.0,3.0,JAX 27,0.0,0.0,Rhamondre Stevenson right guard for 11 yards (tackle by Ventrell Miller),3.01,4.51,7.0,2024,94
1.0,10:02,1.0,10.0,JAX 16,0.0,0.0,Drake Maye sacked by Devin Lloyd for -5 yards,4.51,3.28,7.0,2024,94
1.0,9:22,2.0,15.0,JAX 21,0.0,0.0,Drake Maye pass complete short right to Hunter Henry for 5 yards (tackle by Andre Cisco),3.28,3.08,7.0,2024,94
1.0,8:40,3.0,10.0,JAX 16,6.0,0.0,"Drake Maye pass complete short right to Jamycal Hasty for 16 yards, touchdown",3.08,7.0,7.0,2024,94
1.0,8:32,,,JAX 15,7.0,0.0,Joey Slye kicks extra point good,0.0,0.0,7.0,2024,94
1.0,8:32,,,NWE 35,7.0,0.0,"Joey Slye kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,94
1.0,8:32,1.0,10.0,JAX 30,7.0,0.0,Trevor Lawrence pass complete short left to Evan Engram for 8 yards (tackle by Marte Mapu),0.94,1.47,7.0,2024,94
1.0,8:03,2.0,2.0,JAX 38,7.0,0.0,Trevor Lawrence pass complete short middle to Evan Engram for 13 yards (tackle by Kyle Dugger),1.47,2.32,7.0,2024,94
1.0,7:20,1.0,10.0,NWE 49,7.0,0.0,Tank Bigsby right tackle for no gain (tackle by Anfernee Jennings and Christian Elliss),2.32,1.78,7.0,2024,94
1.0,6:38,2.0,10.0,NWE 49,7.0,0.0,Tank Bigsby right guard for 4 yards (tackle by Anfernee Jennings and Davon Godchaux),1.78,1.62,7.0,2024,94
1.0,5:55,3.0,6.0,NWE 45,7.0,0.0,Trevor Lawrence pass complete short left to D'Ernest Johnson for no gain (tackle by Jonathan Jones),1.62,0.27,7.0,2024,94
1.0,5:13,4.0,6.0,NWE 45,7.0,0.0,"Logan Cooke punts 38 yards, returned by Marcus Jones for 8 yards (tackle by Ventrell Miller)",0.27,0.22,7.0,2024,94
1.0,5:02,1.0,10.0,NWE 15,7.0,0.0,Rhamondre Stevenson right end for 1 yard (tackle by Devin Lloyd),-0.22,-0.58,7.0,2024,94
1.0,4:23,2.0,9.0,NWE 16,7.0,0.0,"Drake Maye pass incomplete short middle intended for Kendrick Bourne. Penalty on Josh Hines-Allen: Defensive Offside, 5 yards (accepted) (no play)",-0.58,0.21,7.0,2024,94
1.0,4:20,2.0,4.0,NWE 21,7.0,0.0,Drake Maye pass incomplete short right intended for Rhamondre Stevenson,0.21,-0.63,7.0,2024,94
1.0,4:17,3.0,4.0,NWE 21,7.0,0.0,Drake Maye scrambles up the middle for 15 yards (tackle by Darnell Savage),-0.63,1.33,7.0,2024,94
1.0,3:37,1.0,10.0,NWE 36,7.0,0.0,Antonio Gibson right tackle for no gain (tackle by Ventrell Miller and Arik Armstead),1.33,0.79,7.0,2024,94
1.0,2:58,2.0,10.0,NWE 36,7.0,0.0,Drake Maye pass complete short left to Hunter Henry for 13 yards (tackle by Devin Lloyd and Tyson Campbell),0.79,2.19,7.0,2024,94
1.0,2:19,1.0,10.0,NWE 49,7.0,0.0,Antonio Gibson right guard for 1 yard (tackle by Ventrell Miller and Devin Lloyd),2.19,1.78,7.0,2024,94
1.0,1:49,2.0,9.0,NWE 50,7.0,0.0,Drake Maye pass complete short right to Hunter Henry for 12 yards (tackle by Ventrell Miller),1.78,3.05,7.0,2024,94
1.0,1:14,1.0,10.0,JAX 38,7.0,0.0,Antonio Gibson right tackle for 3 yards (tackle by Josh Hines-Allen and DaVon Hamilton),3.05,2.91,7.0,2024,94
