Player,Tm,Tgt,Rec,Yds,TD,1D,YBC,YBC/R,YAC,YAC/R,ADOT,BrkTkl,Rec/Br,Drop,Drop%,Int,Rat,week,year,game_id
Troy Franklin,DEN,6,5,50,0,2.0,29,5.8,21,4.2,8.7,0,,0,0.0,0,101.4,7.0,2024,93
Lucas Krull,DEN,4,3,41,0,2.0,27,9.0,14,4.7,13.0,0,,0,0.0,0,107.3,7.0,2024,93
Javonte Williams,DEN,3,3,23,0,1.0,-10,-3.3,33,11.0,-3.3,0,,0,0.0,0,98.6,7.0,2024,93
Lil'Jordan Humphrey,DEN,3,2,12,0,1.0,8,4.0,4,2.0,9.0,0,,0,0.0,0,74.3,7.0,2024,93
Marvin Mims,DEN,3,2,18,0,1.0,-2,-1.0,20,10.0,4.7,0,,1,33.3,0,82.6,7.0,2024,93
Devaughn Vele,DEN,3,1,20,0,1.0,7,7.0,13,13.0,12.7,0,,1,33.3,0,57.6,7.0,2024,93
Adam Trautman,DEN,3,0,0,0,,0,,0,,0.0,0,,0,0.0,0,39.6,7.0,2024,93
Alvin Kamara,NOR,7,6,14,0,0.0,-1,-0.2,15,2.5,-0.1,0,,0,0.0,0,79.2,7.0,2024,93
Mason Tipton,NOR,9,6,45,0,,33,5.5,12,2.0,13.6,0,,0,0.0,0,78.5,7.0,2024,93
Cedrick Wilson Jr.,NOR,7,6,57,1,3.0,39,6.5,18,3.0,6.1,0,,1,14.3,0,140.2,7.0,2024,93
Juwan Johnson,NOR,6,3,18,0,1.0,3,1.0,15,5.0,5.0,0,,1,16.7,0,56.2,7.0,2024,93
Bub Means,NOR,5,3,37,0,2.0,17,5.7,20,6.7,12.0,0,,1,20.0,0,82.9,7.0,2024,93
Kendre Miller,NOR,3,2,1,0,0.0,-3,-1.5,4,2.0,-0.3,0,,1,33.3,0,70.1,7.0,2024,93
Foster Moreau,NOR,2,2,38,0,1.0,21,10.5,17,8.5,10.5,1,2.0,0,0.0,0,118.7,7.0,2024,93
