Quarter,Time,Down,ToGo,Location,HOU,GNB,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Packers won the coin toss, Packers to receive the opening kickoff.",,,7.0,2024,100
1.0,15:00,,,HOU 35,0.0,0.0,"Ka'imi Fairbairn kicks off 61 yards, returned by Keisean Nixon for 26 yards (tackle by Ka'imi Fairbairn). Penalty on Arron Mosby: Offensive Holding, 10 yards (accepted)",0.0,0.28,7.0,2024,100
1.0,14:54,1.0,10.0,GNB 20,0.0,0.0,Jordan Love pass complete deep left to Romeo Doubs for 23 yards (tackle by D'Angelo Ross),0.28,1.8,7.0,2024,100
1.0,14:19,1.0,10.0,GNB 43,0.0,0.0,Josh Jacobs up the middle for 4 yards (tackle by Neville Hewitt and Jake Hansen),1.8,1.79,7.0,2024,100
1.0,13:37,2.0,6.0,GNB 47,0.0,0.0,Josh Jacobs left end for 3 yards (tackle by Tim Settle),1.79,1.49,7.0,2024,100
1.0,12:59,3.0,3.0,GNB 50,0.0,0.0,Jordan Love pass short right (defended by Jalen Pitre) intended for Dontayvion Wicks is intercepted by Neville Hewitt at HOU-44 and returned for 45 yards (tackle by Sean Rhyan),1.49,-4.84,7.0,2024,100
1.0,12:48,1.0,10.0,GNB 11,0.0,0.0,Joe Mixon right end for 1 yard (tackle by Evan Williams and Keisean Nixon),4.84,4.32,7.0,2024,100
1.0,12:09,2.0,9.0,GNB 10,0.0,0.0,C.J. Stroud pass incomplete short right intended for Tank Dell,4.32,3.3,7.0,2024,100
1.0,12:02,3.0,9.0,GNB 10,0.0,0.0,"C.J. Stroud pass incomplete short middle intended for Tank Dell. Penalty on Preston Smith: Defensive Offside, 5 yards (accepted) (no play)",3.3,4.44,7.0,2024,100
1.0,11:57,3.0,4.0,GNB 5,0.0,0.0,C.J. Stroud pass incomplete short right intended for Dare Ogunbowale,4.44,3.01,7.0,2024,100
1.0,11:51,4.0,4.0,GNB 5,3.0,0.0,Ka'imi Fairbairn 23 yard field goal good,3.01,3.0,7.0,2024,100
1.0,11:48,,,HOU 35,3.0,0.0,"Penalty on Kingsley Enagbare: Unsportsmanlike Conduct / Defense, 15 yards (accepted) (no play)",0.0,0.0,7.0,2024,100
1.0,11:48,,,HOU 50,3.0,0.0,"Ka'imi Fairbairn kicks off 25 yards, out of bounds. Penalty on Ka'imi Fairbairn: Kickoff Out of Bounds (accepted)",0.0,0.61,7.0,2024,100
1.0,11:48,1.0,10.0,GNB 25,3.0,0.0,Jordan Love pass complete short left to Jayden Reed for 4 yards (tackle by D'Angelo Ross),0.61,0.6,7.0,2024,100
1.0,11:11,2.0,6.0,GNB 29,3.0,0.0,Bo Melton right end for -1 yards (tackle by Derek Stingley),0.6,-0.23,7.0,2024,100
1.0,10:33,3.0,7.0,GNB 28,3.0,0.0,Jordan Love pass complete short middle to Josh Jacobs for 5 yards (tackle by Jake Hansen),-0.23,-1.18,7.0,2024,100
1.0,9:46,4.0,2.0,GNB 33,3.0,0.0,"Daniel Whelan punts 47 yards, fair catch by Desmond King at HOU-20",-1.18,-0.28,7.0,2024,100
1.0,9:39,1.0,10.0,HOU 20,3.0,0.0,C.J. Stroud pass complete deep left to Dalton Schultz for 28 yards (tackle by Evan Williams),0.28,2.13,7.0,2024,100
1.0,8:59,1.0,10.0,HOU 48,3.0,0.0,C.J. Stroud sacked by Rashan Gary for -6 yards,2.13,0.77,7.0,2024,100
1.0,8:23,2.0,16.0,HOU 42,3.0,0.0,C.J. Stroud pass complete short right to Cade Stover for 15 yards (tackle by Evan Williams),0.77,2.08,7.0,2024,100
