Quarter,Time,Down,ToGo,Location,LAC,ARI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chargers won the coin toss and deferred, Cardinals to receive the opening kickoff.",,,7.0,2024,107
1.0,15:00,,,LAC 35,0.0,0.0,"Cameron Dicker kicks off 66 yards, returned by Greg Dortch for 31 yards (tackle by Troy Dye and Hassan Haskins)",0.0,0.94,7.0,2024,107
1.0,14:53,1.0,10.0,ARI 30,0.0,0.0,Kyler Murray pass incomplete short left intended for Trey McBride (defended by Khalil Mack),0.94,0.39,7.0,2024,107
1.0,14:50,2.0,10.0,ARI 30,0.0,0.0,Kyler Murray scrambles right end for 5 yards (tackle by Tuli Tuipulotu),0.39,0.37,7.0,2024,107
1.0,14:12,3.0,5.0,ARI 35,0.0,0.0,Kyler Murray pass complete short right to Marvin Harrison for 7 yards (tackle by Cam Hart),0.37,1.73,7.0,2024,107
1.0,13:32,1.0,10.0,ARI 42,0.0,0.0,James Conner right tackle for 1 yard (tackle by Khalil Mack and Teair Tart),1.73,1.32,7.0,2024,107
1.0,12:50,2.0,9.0,ARI 43,0.0,0.0,Kyler Murray scrambles left end for 16 yards (tackle by Alohi Gilman),1.32,2.85,7.0,2024,107
1.0,12:04,1.0,10.0,LAC 41,0.0,0.0,"Kyler Murray pass short middle (defended by Khalil Mack) intended for James Conner is intercepted by Teair Tart at LAC-46 and returned for 4 yards. Teair Tart fumbles (forced by James Conner), recovered by Michael Wilson at ARI-28",2.85,0.81,7.0,2024,107
1.0,11:55,1.0,10.0,ARI 28,0.0,0.0,James Conner right tackle for 6 yards (tackle by Derwin James),0.81,1.07,7.0,2024,107
1.0,11:13,2.0,4.0,ARI 34,0.0,0.0,Kyler Murray pass incomplete short middle intended for Trey McBride (defended by Daiyan Henley),1.07,0.37,7.0,2024,107
1.0,11:10,3.0,4.0,ARI 34,0.0,0.0,Kyler Murray pass incomplete short right,0.37,-1.11,7.0,2024,107
1.0,11:03,4.0,4.0,ARI 34,0.0,0.0,"Blake Gillikin punts 54 yards, fair catch by Jalen Reagor at LAC-12",-1.11,0.35,7.0,2024,107
1.0,10:56,1.0,10.0,LAC 12,0.0,0.0,Justin Herbert pass complete short right to Simi Fehoko for 11 yards (tackle by Garrett Williams),-0.35,0.48,7.0,2024,107
1.0,10:22,1.0,10.0,LAC 23,0.0,0.0,J.K. Dobbins left tackle for 7 yards (tackle by Kyzir White and Budda Baker),0.48,0.88,7.0,2024,107
1.0,9:46,2.0,3.0,LAC 30,0.0,0.0,J.K. Dobbins up the middle for 4 yards (tackle by Zaven Collins and Dennis Gardeck),0.88,1.2,7.0,2024,107
1.0,9:01,1.0,10.0,LAC 34,0.0,0.0,Justin Herbert pass complete short right to Will Dissly for 15 yards (tackle by Sean Murphy-Bunting and Mack Wilson),1.2,2.19,7.0,2024,107
1.0,8:19,1.0,10.0,LAC 49,0.0,0.0,Justin Herbert pass complete short right to Will Dissly for 7 yards (tackle by Julian Okwara),2.19,2.59,7.0,2024,107
1.0,7:38,2.0,3.0,ARI 44,0.0,0.0,"Justin Herbert pass complete deep left to Jalen Reagor for 41 yards. Jalen Reagor fumbles (forced by Starling Thomas), recovered by Jalen Thompson in end zone Replay Assistant challenged the runner was in bounds ruling, and the play was upheld.",2.59,-0.28,7.0,2024,107
1.0,7:27,1.0,10.0,ARI 20,0.0,0.0,Kyler Murray pass complete short left to Trey McBride for 11 yards (tackle by Junior Colson),0.28,1.0,7.0,2024,107
1.0,7:00,1.0,10.0,ARI 31,0.0,0.0,Kyler Murray left end for 2 yards (tackle by Junior Colson),1.0,0.73,7.0,2024,107
1.0,6:25,2.0,8.0,ARI 33,0.0,0.0,James Conner right tackle for 10 yards (tackle by Derwin James and Denzel Perryman),0.73,1.8,7.0,2024,107
1.0,5:46,1.0,10.0,ARI 43,0.0,0.0,James Conner left tackle for 11 yards (tackle by Cam Hart),1.8,2.52,7.0,2024,107
1.0,5:01,1.0,10.0,LAC 46,0.0,0.0,James Conner left tackle for no gain (tackle by Tuli Tuipulotu and Derwin James),2.52,1.98,7.0,2024,107
1.0,4:13,2.0,10.0,LAC 46,0.0,0.0,Kyler Murray pass incomplete short right intended for James Conner,1.98,1.29,7.0,2024,107
1.0,4:10,,,,,,Timeout #1 by Los Angeles Chargers,,,7.0,2024,107
1.0,4:10,3.0,10.0,LAC 46,0.0,0.0,Kyler Murray pass incomplete short middle intended for Greg Dortch,1.29,0.2,7.0,2024,107
1.0,4:07,4.0,10.0,LAC 46,0.0,0.0,"Blake Gillikin punts 36 yards, fair catch by Ladd McConkey at LAC-10",0.2,0.38,7.0,2024,107
1.0,4:00,1.0,10.0,LAC 10,0.0,0.0,Justin Herbert scrambles left end for 4 yards (tackle by Starling Thomas),-0.38,-0.46,7.0,2024,107
1.0,3:20,2.0,6.0,LAC 14,0.0,0.0,Kimani Vidal left end for 1 yard (tackle by Starling Thomas and Kyzir White),-0.46,-0.84,7.0,2024,107
1.0,2:35,3.0,5.0,LAC 15,0.0,0.0,Justin Herbert pass complete short right to Simi Fehoko for 9 yards,-0.84,0.54,7.0,2024,107
1.0,2:01,1.0,10.0,LAC 24,0.0,0.0,J.K. Dobbins left tackle for 2 yards (tackle by L.J. Collier and Garrett Williams),0.54,0.27,7.0,2024,107
1.0,1:17,2.0,8.0,LAC 26,0.0,0.0,"Justin Herbert pass complete short right to Josh Palmer for no gain (tackle by Garrett Williams). Penalty on Starling Thomas: Illegal Contact, 5 yards (accepted) (no play)",0.27,1.0,7.0,2024,107
1.0,0:55,1.0,10.0,LAC 31,0.0,0.0,J.K. Dobbins up the middle for -2 yards (tackle by Starling Thomas),1.0,0.19,7.0,2024,107
1.0,0:10,2.0,12.0,LAC 29,0.0,0.0,Justin Herbert pass complete short left to Will Dissly for 18 yards (tackle by Krys Barnes),0.19,2.06,7.0,2024,107
2.0,15:00,1.0,10.0,LAC 47,0.0,0.0,Jalen Reagor right end for -1 yards (tackle by Sean Murphy-Bunting),2.06,1.38,7.0,2024,107
2.0,14:20,2.0,11.0,LAC 46,0.0,0.0,Justin Herbert pass complete short middle to Will Dissly for 10 yards (tackle by Max Melton),1.38,2.02,7.0,2024,107
2.0,13:38,3.0,1.0,ARI 44,0.0,0.0,J.K. Dobbins right tackle for 1 yard (tackle by L.J. Collier and Kyzir White),2.02,2.72,7.0,2024,107
2.0,12:53,1.0,10.0,ARI 43,0.0,0.0,Justin Herbert pass complete short right to J.K. Dobbins for 2 yards (tackle by Dennis Gardeck),2.72,2.45,7.0,2024,107
2.0,12:12,2.0,8.0,ARI 41,0.0,0.0,Justin Herbert pass incomplete short left intended for Simi Fehoko,2.45,1.75,7.0,2024,107
2.0,12:08,3.0,8.0,ARI 41,0.0,0.0,Justin Herbert pass incomplete short right intended for Simi Fehoko (defended by Max Melton),1.75,0.53,7.0,2024,107
2.0,12:04,4.0,8.0,ARI 41,3.0,0.0,Cameron Dicker 59 yard field goal good,0.53,3.0,7.0,2024,107
2.0,11:59,,,LAC 35,3.0,0.0,"Cameron Dicker kicks off 67 yards, returned by DeeJay Dallas for 23 yards (tackle by Tuli Tuipulotu and Hassan Haskins)",0.0,0.34,7.0,2024,107
2.0,11:54,1.0,10.0,ARI 21,3.0,0.0,James Conner left tackle for 5 yards (tackle by Otito Ogbonnia),0.34,0.48,7.0,2024,107
2.0,11:16,2.0,5.0,ARI 26,3.0,0.0,Kyler Murray pass complete short right to Marvin Harrison for 4 yards (tackle by Tarheeb Still),0.48,0.3,7.0,2024,107
2.0,10:47,3.0,1.0,ARI 30,3.0,0.0,Clayton Tune up the middle for 2 yards (tackle by Tuli Tuipulotu),0.3,1.07,7.0,2024,107
2.0,10:06,1.0,10.0,ARI 32,3.0,0.0,"Kyler Murray pass complete short right to James Conner for 18 yards. James Conner fumbles (forced by Cam Hart), recovered by Trey McBride at LAC-43",1.07,2.72,7.0,2024,107
2.0,9:15,1.0,10.0,LAC 43,3.0,0.0,Kyler Murray pass complete short right to Trey McBride for 11 yards (tackle by Cam Hart),2.72,3.45,7.0,2024,107
2.0,8:50,1.0,10.0,LAC 32,3.0,0.0,James Conner up the middle for 14 yards (tackle by Derwin James and Tarheeb Still),3.45,4.37,7.0,2024,107
2.0,8:00,1.0,10.0,LAC 18,3.0,0.0,"Penalty on Teair Tart: Neutral Zone Infraction, 5 yards (accepted) (no play)",4.37,5.41,7.0,2024,107
2.0,7:43,1.0,5.0,LAC 13,3.0,0.0,Kyler Murray pass complete short right to Trey McBride for 3 yards (tackle by Cam Hart),5.41,5.23,7.0,2024,107
2.0,7:03,2.0,2.0,LAC 10,3.0,0.0,James Conner up the middle for 3 yards (tackle by Bud Dupree),5.23,5.6,7.0,2024,107
2.0,6:27,1.0,7.0,LAC 7,3.0,0.0,James Conner left end for 2 yards (tackle by Daiyan Henley),5.6,5.15,7.0,2024,107
2.0,5:44,2.0,5.0,LAC 5,3.0,6.0,"Kyler Murray pass complete short right to Greg Dortch for 5 yards, touchdown",5.15,7.0,7.0,2024,107
2.0,5:40,,,LAC 15,3.0,7.0,Chad Ryland kicks extra point good,0.0,0.0,7.0,2024,107
2.0,5:40,,,ARI 35,3.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
2.0,5:40,1.0,10.0,LAC 30,3.0,7.0,J.K. Dobbins left tackle for 2 yards (tackle by Mack Wilson),0.94,0.66,7.0,2024,107
2.0,5:01,2.0,8.0,LAC 32,3.0,7.0,Justin Herbert pass incomplete short right intended for Ladd McConkey,0.66,-0.03,7.0,2024,107
2.0,4:56,3.0,8.0,LAC 32,3.0,7.0,Justin Herbert pass complete short middle to Will Dissly for 5 yards (tackle by Jalen Thompson and Budda Baker),-0.03,-0.91,7.0,2024,107
2.0,4:08,4.0,3.0,LAC 37,3.0,7.0,JK Scott punts 36 yards out of bounds,-0.91,-0.74,7.0,2024,107
2.0,4:01,1.0,10.0,ARI 27,3.0,7.0,Kyler Murray pass complete short left to Tip Reiman for 1 yard (tackle by Derwin James),0.74,0.33,7.0,2024,107
2.0,3:22,2.0,9.0,ARI 28,3.0,7.0,Kyler Murray pass complete short middle to Trey McBride for 14 yards (tackle by Junior Colson and Alohi Gilman),0.33,1.73,7.0,2024,107
2.0,2:43,1.0,10.0,ARI 42,3.0,7.0,Kyler Murray pass incomplete short right intended for Marvin Harrison (defended by Ja'Sir Taylor),1.73,1.19,7.0,2024,107
2.0,2:38,2.0,10.0,ARI 42,3.0,7.0,James Conner left end for -6 yards (tackle by Ja'Sir Taylor and Alohi Gilman),1.19,-0.29,7.0,2024,107
2.0,2:00,3.0,16.0,ARI 36,3.0,7.0,Emari Demercado right end for 14 yards (tackle by Tarheeb Still),-0.29,-0.06,7.0,2024,107
2.0,1:52,,,,,,Timeout #2 by Los Angeles Chargers,,,7.0,2024,107
2.0,1:52,4.0,2.0,ARI 50,3.0,7.0,"Penalty on Kyler Murray: Delay of Game, 5 yards (accepted) (no play)",-0.06,-0.39,7.0,2024,107
2.0,1:52,4.0,7.0,ARI 45,3.0,7.0,"Blake Gillikin punts 44 yards, fair catch by Ladd McConkey at LAC-11",-0.39,0.37,7.0,2024,107
2.0,1:47,1.0,10.0,LAC 11,3.0,7.0,Justin Herbert pass incomplete short right intended for Josh Palmer,-0.37,-0.78,7.0,2024,107
2.0,1:42,2.0,10.0,LAC 11,3.0,7.0,Justin Herbert pass complete deep middle to Josh Palmer for 17 yards (tackle by Budda Baker),-0.78,0.81,7.0,2024,107
2.0,1:22,1.0,10.0,LAC 28,3.0,7.0,Justin Herbert pass complete deep right to Josh Palmer for 24 yards (tackle by Max Melton),0.81,2.39,7.0,2024,107
2.0,1:15,,,,,,Timeout #1 by Arizona Cardinals,,,7.0,2024,107
2.0,1:15,1.0,10.0,ARI 48,3.0,7.0,Justin Herbert pass complete short middle to Kimani Vidal for 9 yards (tackle by Krys Barnes and Kyzir White),2.39,3.06,7.0,2024,107
2.0,0:55,2.0,1.0,ARI 39,3.0,7.0,Kimani Vidal left tackle for 7 yards (tackle by Zaven Collins and Kyzir White),3.06,3.45,7.0,2024,107
2.0,0:35,1.0,10.0,ARI 32,3.0,7.0,Justin Herbert pass complete short right to Will Dissly for 4 yards (tackle by Jalen Thompson),3.45,3.44,7.0,2024,107
2.0,0:30,,,,,,Timeout #3 by Los Angeles Chargers,,,7.0,2024,107
2.0,0:30,2.0,6.0,ARI 28,3.0,7.0,Justin Herbert sacked by Ben Stille for -4 yards,3.44,2.21,7.0,2024,107
2.0,0:04,3.0,10.0,ARI 32,3.0,7.0,Justin Herbert spiked the ball,2.21,1.24,7.0,2024,107
2.0,0:03,4.0,10.0,ARI 32,6.0,7.0,Cameron Dicker 50 yard field goal good,1.24,3.0,7.0,2024,107
3.0,15:00,,,ARI 35,6.0,7.0,"Chad Ryland kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,107
3.0,15:00,1.0,10.0,LAC 30,6.0,7.0,J.K. Dobbins up the middle for 6 yards (tackle by Dennis Gardeck and L.J. Collier),0.94,1.2,7.0,2024,107
3.0,14:25,2.0,4.0,LAC 36,6.0,7.0,J.K. Dobbins up the middle for 2 yards (tackle by L.J. Collier and Kyzir White),1.2,0.76,7.0,2024,107
3.0,13:48,3.0,2.0,LAC 38,6.0,7.0,J.K. Dobbins left end for 11 yards (tackle by Garrett Williams and Budda Baker),0.76,2.19,7.0,2024,107
3.0,13:06,1.0,10.0,LAC 49,6.0,7.0,Justin Herbert pass complete short middle to Josh Palmer for 13 yards (tackle by Max Melton),2.19,3.05,7.0,2024,107
