Quarter,Time,Down,ToGo,Location,TEN,BUF,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Bills won the coin toss, Bills to receive the opening kickoff.",,,7.0,2024,97
1.0,15:00,,,TEN 35,0.0,0.0,"Nick Folk kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,97
1.0,15:00,1.0,10.0,BUF 30,0.0,0.0,James Cook left guard for 5 yards (tackle by Ernest Jones and T'Vondre Sweat),0.94,1.07,7.0,2024,97
1.0,14:26,2.0,5.0,BUF 35,0.0,0.0,James Cook up the middle for 4 yards (tackle by Kenneth Murray and T'Vondre Sweat),1.07,0.89,7.0,2024,97
1.0,13:44,3.0,1.0,BUF 39,0.0,0.0,Josh Allen pass incomplete short left intended for Amari Cooper,0.89,-0.78,7.0,2024,97
1.0,13:31,4.0,1.0,BUF 39,0.0,0.0,"Sam Martin punts 46 yards, returned by Jha'Quan Jackson for no gain (tackle by Baylon Spector). Penalty on Tre Avery: Offensive Holding, 7 yards (accepted)",-0.78,0.38,7.0,2024,97
1.0,13:31,1.0,10.0,TEN 8,0.0,0.0,Mason Rudolph pass complete short left to Josh Whyle for 11 yards (tackle by Dorian Williams),-0.38,0.15,7.0,2024,97
1.0,12:54,1.0,10.0,TEN 19,0.0,0.0,Mason Rudolph pass complete short right to Nick Vannett for 6 yards (tackle by Taylor Rapp and Dorian Williams),0.15,0.48,7.0,2024,97
1.0,12:14,2.0,4.0,TEN 25,0.0,0.0,Mason Rudolph pass complete short left to Calvin Ridley for no gain (tackle by Terrel Bernard),0.48,-0.29,7.0,2024,97
1.0,11:32,3.0,4.0,TEN 25,0.0,0.0,Mason Rudolph pass incomplete short right intended for Calvin Ridley (defended by Taron Johnson),-0.29,-1.7,7.0,2024,97
1.0,11:25,4.0,4.0,TEN 25,0.0,0.0,"Ryan Stonehouse punts 60 yards, returned by Brandon Codrington for 12 yards (tackle by Luke Gifford)",-1.7,-0.74,7.0,2024,97
1.0,11:14,1.0,10.0,BUF 27,0.0,0.0,Josh Allen pass complete short left to Dawson Knox for 5 yards (tackle by Kenneth Murray and Jarvis Brownlee),0.74,0.87,7.0,2024,97
1.0,10:39,2.0,5.0,BUF 32,0.0,0.0,"Penalty on Dion Dawkins: False Start, 5 yards (accepted) (no play)",0.87,0.2,7.0,2024,97
1.0,10:18,2.0,10.0,BUF 27,0.0,0.0,Josh Allen pass incomplete short left intended for Curtis Samuel (defended by Jeffery Simmons),0.2,-0.49,7.0,2024,97
1.0,10:14,3.0,10.0,BUF 27,0.0,0.0,Josh Allen pass incomplete deep left intended for Keon Coleman,-0.49,-1.57,7.0,2024,97
1.0,10:07,4.0,10.0,BUF 27,0.0,0.0,Sam Martin punts 41 yards out of bounds,-1.57,-1.07,7.0,2024,97
1.0,10:00,1.0,10.0,TEN 32,0.0,0.0,Tony Pollard left guard for 2 yards (tackle by Terrel Bernard),1.07,0.8,7.0,2024,97
1.0,9:21,2.0,8.0,TEN 34,0.0,0.0,"Tony Pollard up the middle for no gain (tackle by Terrel Bernard). Penalty on Gregory Rousseau: Defensive Offside, 5 yards (accepted) (no play)",0.8,1.47,7.0,2024,97
1.0,8:57,2.0,3.0,TEN 39,0.0,0.0,Mason Rudolph pass incomplete short left intended for Tony Pollard (defended by A.J. Epenesa),1.47,0.76,7.0,2024,97
1.0,8:52,,,,,,Timeout #1 by Tennessee Titans,,,7.0,2024,97
1.0,8:52,3.0,3.0,TEN 39,0.0,0.0,Mason Rudolph pass complete short left to Nick Westbrook-Ikhine for 6 yards (tackle by Dorian Williams),0.76,1.93,7.0,2024,97
1.0,8:22,1.0,10.0,TEN 45,0.0,0.0,Mason Rudolph pass incomplete short right intended for Tony Pollard,1.93,1.38,7.0,2024,97
1.0,8:17,2.0,10.0,TEN 45,0.0,0.0,Tony Pollard left end for no gain (tackle by Dawuane Smoot),1.38,0.7,7.0,2024,97
1.0,7:34,3.0,10.0,TEN 45,0.0,0.0,Mason Rudolph pass complete short middle to Tyler Boyd for 12 yards (tackle by Terrel Bernard and Taron Johnson),0.7,2.72,7.0,2024,97
1.0,6:58,1.0,10.0,BUF 43,0.0,0.0,Tony Pollard left tackle for 14 yards (tackle by Christian Benford and Damar Hamlin),2.72,3.64,7.0,2024,97
1.0,6:20,1.0,10.0,BUF 29,0.0,0.0,Tony Pollard right end for 4 yards (tackle by Dorian Williams),3.64,3.64,7.0,2024,97
1.0,5:58,2.0,6.0,BUF 25,0.0,0.0,Mason Rudolph pass complete short right to Nick Vannett for 11 yards (tackle by Damar Hamlin),3.64,4.65,7.0,2024,97
1.0,5:20,1.0,10.0,BUF 14,0.0,0.0,"Penalty on Dillon Radunz: False Start, 5 yards (accepted) (no play)",4.65,4.26,7.0,2024,97
