Unnamed: 0,DET,MIN,week,year,game_id
First Downs,19,16,7.0,2024,95
Rush-Yds-TDs,27-144-2,21-139-1,7.0,2024,95
Cmp-Att-Yd-TD-INT,22-25-280-2-0,22-27-259-1-1,7.0,2024,95
Sacked-Yards,4-33,4-15,7.0,2024,95
Net Pass Yards,247,244,7.0,2024,95
Total Yards,391,383,7.0,2024,95
Fumbles-Lost,3-1,0-0,7.0,2024,95
Turnovers,1,1,7.0,2024,95
Penalties-Yards,8-49,8-59,7.0,2024,95
Third Down Conv.,4-10,4-10,7.0,2024,95
Fourth Down Conv.,0-1,0-0,7.0,2024,95
Time of Possession,29:03,30:57,7.0,2024,95
