Quarter,Time,Down,ToGo,Location,MIA,IND,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Dolphins won the coin toss and deferred, Colts to receive the opening kickoff.",,,7.0,2024,99
1.0,15:00,,,MIA 35,0.0,0.0,"Jason Sanders kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,99
1.0,15:00,1.0,10.0,IND 30,0.0,0.0,Trey Sermon up the middle for -2 yards (tackle by Calais Campbell),0.94,0.12,7.0,2024,99
1.0,14:24,2.0,12.0,IND 28,0.0,0.0,Anthony Richardson scrambles left guard for 6 yards (tackle by Jordyn Brooks and Chop Robinson),0.12,0.23,7.0,2024,99
1.0,13:49,3.0,6.0,IND 34,0.0,0.0,Anthony Richardson pass incomplete short right intended for Adonai Mitchell,0.23,-1.11,7.0,2024,99
1.0,13:43,4.0,6.0,IND 34,0.0,0.0,"Rigoberto Sanchez punts 48 yards, returned by Braxton Berrios for 9 yards (tackle by Kelvin Joseph)",-1.11,-0.74,7.0,2024,99
1.0,13:32,1.0,10.0,MIA 27,0.0,0.0,De'Von Achane up the middle for 2 yards (tackle by Grant Stuard and Zaire Franklin),0.74,0.47,7.0,2024,99
1.0,13:03,2.0,8.0,MIA 29,0.0,0.0,Tyler Huntley pass incomplete short right,0.47,-0.23,7.0,2024,99
1.0,12:54,3.0,8.0,MIA 29,0.0,0.0,Tyler Huntley pass complete short middle to Malik Washington for 2 yards (tackle by Kenny Moore),-0.23,-1.31,7.0,2024,99
1.0,12:17,4.0,6.0,MIA 31,0.0,0.0,Jake Bailey punts 59 yards downed by Elijah Campbell,-1.31,0.38,7.0,2024,99
1.0,12:08,1.0,10.0,IND 10,0.0,0.0,Anthony Richardson pass incomplete short left intended for Andrew Ogletree,-0.38,-0.78,7.0,2024,99
1.0,12:04,2.0,10.0,IND 10,0.0,0.0,Anthony Richardson pass incomplete short left intended for Kylen Granson (defended by Kader Kohou),-0.78,-1.42,7.0,2024,99
1.0,12:01,3.0,10.0,IND 10,0.0,0.0,Anthony Richardson pass incomplete deep left intended for Alec Pierce,-1.42,-2.49,7.0,2024,99
1.0,11:54,4.0,10.0,IND 10,0.0,0.0,"Rigoberto Sanchez punts 48 yards, fair catch by Braxton Berrios at MIA-42",-2.49,-1.73,7.0,2024,99
1.0,11:47,1.0,10.0,MIA 42,0.0,0.0,De'Von Achane up the middle for 5 yards (tackle by Grant Stuard and Zaire Franklin),1.73,1.86,7.0,2024,99
1.0,11:18,2.0,5.0,MIA 47,0.0,0.0,De'Von Achane right guard for 2 yards (tackle by Zaire Franklin and Grover Stewart),1.86,1.42,7.0,2024,99
1.0,10:38,3.0,3.0,MIA 49,0.0,0.0,"Tyler Huntley pass incomplete short right intended for De'Von Achane. Penalty on Raekwon Davis: Defensive Offside, 5 yards (accepted) (no play)",1.42,2.52,7.0,2024,99
1.0,10:35,1.0,10.0,IND 46,0.0,0.0,De'Von Achane left tackle for 3 yards (tackle by Jaylon Jones and Zaire Franklin),2.52,2.38,7.0,2024,99
1.0,9:59,2.0,7.0,IND 43,0.0,0.0,De'Von Achane up the middle for 6 yards (tackle by Jaylon Carlies and Laiatu Latu),2.38,2.48,7.0,2024,99
1.0,9:31,3.0,1.0,IND 37,0.0,0.0,Tyler Huntley up the middle for 2 yards (tackle by Jaylon Carlies),2.48,3.25,7.0,2024,99
1.0,9:00,1.0,10.0,IND 35,0.0,0.0,Raheem Mostert right tackle for 4 yards (tackle by Grant Stuard and Zaire Franklin),3.25,3.24,7.0,2024,99
1.0,8:31,2.0,6.0,IND 31,0.0,0.0,Tyler Huntley pass complete short middle to Jonnu Smith for 18 yards (tackle by Nick Cross),3.24,4.71,7.0,2024,99
1.0,7:58,1.0,10.0,IND 13,0.0,0.0,Raheem Mostert up the middle for 11 yards (tackle by Julian Blackmon),4.71,6.74,7.0,2024,99
1.0,7:12,,,,,,Timeout #1 by Miami Dolphins,,,7.0,2024,99
1.0,7:12,1.0,2.0,IND 2,0.0,0.0,Raheem Mostert left tackle for no gain (tackle by Julian Blackmon),6.74,5.72,7.0,2024,99
1.0,6:44,2.0,2.0,IND 2,0.0,0.0,Tyler Huntley sacked by Jaylon Carlies for -8 yards,5.72,3.13,7.0,2024,99
1.0,6:02,3.0,10.0,IND 10,6.0,0.0,"Tyler Huntley pass complete short left to Jonnu Smith for 10 yards, touchdown",3.13,7.0,7.0,2024,99
1.0,5:56,,,IND 15,7.0,0.0,Jason Sanders kicks extra point good,0.0,0.0,7.0,2024,99
1.0,5:56,,,MIA 35,7.0,0.0,"Jason Sanders kicks off 58 yards, returned by Ashton Dulin for 20 yards (tackle by Storm Duck). Penalty on Will Mallory: Offensive Holding, 10 yards (accepted)",0.0,-0.06,7.0,2024,99
1.0,5:51,1.0,10.0,IND 17,7.0,0.0,Tyler Goodson right end for 19 yards (tackle by Jordyn Brooks),-0.06,1.33,7.0,2024,99
1.0,5:26,1.0,10.0,IND 36,7.0,0.0,Tyler Goodson right tackle for 9 yards (tackle by Jalen Ramsey),1.33,2.01,7.0,2024,99
