Unnamed: 0,LAC,ARI,week,year,game_id
First Downs,20,22,7.0,2024,107
Rush-Yds-TDs,22-59-0,29-181-1,7.0,2024,107
Cmp-Att-Yd-TD-INT,27-39-349-0-0,14-26-145-1-1,7.0,2024,107
Sacked-Yards,3-13,0-0,7.0,2024,107
Net Pass Yards,336,145,7.0,2024,107
Total Yards,395,326,7.0,2024,107
Fumbles-Lost,3-2,1-0,7.0,2024,107
Turnovers,2,1,7.0,2024,107
Penalties-Yards,5-57,3-15,7.0,2024,107
Third Down Conv.,6-14,2-7,7.0,2024,107
Fourth Down Conv.,1-1,0-1,7.0,2024,107
Time of Possession,34:14,25:46,7.0,2024,107
