Quarter,Time,Down,ToGo,Location,CIN,CLE,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Bengals to receive the opening kickoff.",,,7.0,2024,98
1.0,15:00,,,CLE 35,6.0,0.0,"Dustin Hopkins kicks off 65 yards, returned by Charlie Jones for 100 yards, touchdown",0.0,7.0,7.0,2024,98
1.0,14:48,,,CLE 15,7.0,0.0,Evan McPherson kicks extra point good,0.0,0.0,7.0,2024,98
1.0,14:48,,,CIN 35,7.0,0.0,"Evan McPherson kicks off 65 yards, returned by D'Onta Foreman for 24 yards (tackle by Maema Njongmeta and Akeem Davis-Gaither)",0.0,0.54,7.0,2024,98
1.0,14:43,1.0,10.0,CLE 24,7.0,0.0,Deshaun Watson pass incomplete short middle intended for Nick Chubb,0.54,0.0,7.0,2024,98
1.0,14:37,2.0,10.0,CLE 24,7.0,0.0,Deshaun Watson pass complete short right to Cedric Tillman for 7 yards (tackle by Germaine Pratt),0.0,0.23,7.0,2024,98
1.0,14:02,3.0,3.0,CLE 31,7.0,0.0,Nick Chubb left guard for 2 yards (tackle by Logan Wilson),0.23,-1.18,7.0,2024,98
1.0,13:19,4.0,1.0,CLE 33,7.0,0.0,"Corey Bojorquez punts 47 yards, returned by Charlie Jones for 1 yard (tackle by Mike Ford)",-1.18,-0.34,7.0,2024,98
1.0,13:09,1.0,10.0,CIN 21,7.0,0.0,Chase Brown right end for no gain (tackle by Jordan Hicks),0.34,-0.2,7.0,2024,98
1.0,12:31,2.0,10.0,CIN 21,7.0,0.0,Joe Burrow pass complete short left to Ja'Marr Chase for 6 yards (tackle by Greg Newsome and Martin Emerson),-0.2,-0.1,7.0,2024,98
1.0,11:46,3.0,4.0,CIN 27,7.0,0.0,Joe Burrow pass incomplete deep right intended for Tanner Hudson,-0.1,-1.57,7.0,2024,98
1.0,11:39,4.0,4.0,CIN 27,7.0,0.0,"Ryan Rehkow punts 47 yards, returned by Jaelon Darden for 11 yards (tackle by Jordan Battle)",-1.57,-1.4,7.0,2024,98
1.0,11:30,1.0,10.0,CLE 37,7.0,0.0,Nick Chubb right tackle for 1 yard (tackle by Logan Wilson),1.4,0.99,7.0,2024,98
1.0,10:56,2.0,9.0,CLE 38,7.0,0.0,Deshaun Watson pass complete short left to Cedric Tillman for 8 yards (tackle by Cam Taylor-Britt),0.99,1.36,7.0,2024,98
1.0,10:28,3.0,1.0,CLE 46,7.0,0.0,D'Onta Foreman left guard for 5 yards (tackle by Logan Wilson and Vonn Bell),1.36,2.32,7.0,2024,98
1.0,9:54,1.0,10.0,CIN 49,7.0,0.0,Deshaun Watson pass complete short left to David Njoku for 4 yards (tackle by Germaine Pratt),2.32,2.32,7.0,2024,98
1.0,9:16,2.0,6.0,CIN 45,7.0,0.0,Nick Chubb up the middle for 3 yards (tackle by Sheldon Rankins and Trey Hendrickson),2.32,2.02,7.0,2024,98
1.0,8:39,3.0,3.0,CIN 42,7.0,0.0,Deshaun Watson pass complete short left to Jordan Akins for 5 yards (tackle by Cam Taylor-Britt),2.02,3.12,7.0,2024,98
1.0,8:00,1.0,10.0,CIN 37,7.0,0.0,Deshaun Watson pass complete short right to Jordan Akins for 7 yards (tackle by Logan Wilson and Germaine Pratt),3.12,3.52,7.0,2024,98
1.0,7:20,2.0,3.0,CIN 30,7.0,0.0,Deshaun Watson pass incomplete deep right intended for Cedric Tillman,3.52,2.81,7.0,2024,98
1.0,7:15,3.0,3.0,CIN 30,7.0,0.0,Nick Chubb left guard for -1 yards (tackle by Mike Hilton and Myles Murphy),2.81,1.37,7.0,2024,98
1.0,6:32,4.0,4.0,CIN 31,7.0,0.0,Dustin Hopkins 49 yard field goal no good,1.37,-1.53,7.0,2024,98
1.0,6:28,1.0,10.0,CIN 39,7.0,0.0,Joe Burrow pass complete short middle to Tee Higgins for 17 yards (tackle by Jeremiah Owusu-Koramoah and Juan Thornhill),1.53,2.65,7.0,2024,98
1.0,5:56,1.0,10.0,CLE 44,7.0,0.0,"Chase Brown left guard for 4 yards (tackle by Grant Delpit). Penalty on Cordell Volson: Offensive Holding, 10 yards (accepted)",2.65,2.26,7.0,2024,98
1.0,5:25,1.0,16.0,CLE 50,7.0,0.0,Zack Moss up the middle for 3 yards (tackle by Grant Delpit),2.26,1.71,7.0,2024,98
1.0,4:40,2.0,13.0,CLE 47,7.0,0.0,Joe Burrow pass incomplete short right,1.71,1.03,7.0,2024,98
1.0,4:33,3.0,13.0,CLE 47,7.0,0.0,Joe Burrow pass complete short middle to Zack Moss for 10 yards (tackle by Grant Delpit and Greg Newsome),1.03,0.79,7.0,2024,98
