Unnamed: 0,NYJ,PIT,week,year,game_id
First Downs,17,21,7.0,2024,105
Rush-Yds-TDs,15-54-1,36-149-2,7.0,2024,105
Cmp-Att-Yd-TD-INT,24-39-276-1-2,16-29-264-2-0,7.0,2024,105
Sacked-Yards,1-7,1-4,7.0,2024,105
Net Pass Yards,269,260,7.0,2024,105
Total Yards,323,409,7.0,2024,105
Fumbles-Lost,2-0,0-0,7.0,2024,105
Turnovers,2,0,7.0,2024,105
Penalties-Yards,5-50,4-36,7.0,2024,105
Third Down Conv.,3-10,5-14,7.0,2024,105
Fourth Down Conv.,1-2,2-2,7.0,2024,105
Time of Possession,27:51,32:09,7.0,2024,105
