Unnamed: 0,TEN,BUF,week,year,game_id
First Downs,18,18,7.0,2024,97
Rush-Yds-TDs,24-89-0,20-74-2,7.0,2024,97
Cmp-Att-Yd-TD-INT,25-40-215-1-1,21-33-323-2-0,7.0,2024,97
Sacked-Yards,3-15,1-8,7.0,2024,97
Net Pass Yards,200,315,7.0,2024,97
Total Yards,289,389,7.0,2024,97
Fumbles-Lost,4-1,1-0,7.0,2024,97
Turnovers,2,0,7.0,2024,97
Penalties-Yards,8-52,5-40,7.0,2024,97
Third Down Conv.,6-16,3-10,7.0,2024,97
Fourth Down Conv.,1-2,0-0,7.0,2024,97
Time of Possession,32:46,27:14,7.0,2024,97
