Player,Tm,Cmp,Att,Yds,1D,1D%,IAY,IAY/PA,CAY,CAY/Cmp,CAY/PA,YAC,YAC/Cmp,Drops,Drop%,BadTh,Bad%,Sk,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,week,year,game_id
Geno Smith,SEA,18,28,207,11,37.9,337,12.0,141,7.8,5.0,66,3.7,1,3.7%,3,11.1%,1,9,6,4,11,34.4%,3,5.0,7.0,2024,96
Jaxon Smith-Njigba,SEA,1,1,35,1,100.0,35,35.0,35,35.0,35.0,0,0.0,0,0.0%,0,0.0%,0,0,0,1,1,100.0%,0,,7.0,2024,96
Kirk Cousins,ATL,24,35,232,12,31.6,259,7.4,130,5.4,3.7,102,4.3,2,5.7%,6,17.1%,3,6,0,6,9,23.7%,0,,7.0,2024,96
Michael Penix,ATL,1,1,14,1,100.0,3,3.0,3,3.0,3.0,11,11.0,0,0.0%,0,0.0%,0,0,0,0,0,0.0%,0,,7.0,2024,96
