Quarter,Time,Down,ToGo,Location,KAN,SFO,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Chiefs won the coin toss and deferred, 49ers to receive the opening kickoff.",,,7.0,2024,104
1.0,15:00,,,KAN 35,0.0,0.0,"Harrison Butker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,104
1.0,15:00,1.0,10.0,SFO 30,0.0,0.0,Jordan Mason left tackle for -1 yards (tackle by Felix Anudike-Uzomah and Jaylen Watson),0.94,0.26,7.0,2024,104
1.0,14:23,2.0,11.0,SFO 29,0.0,0.0,"Jordan Mason right guard for no gain (tackle by Nick Bolton). Penalty on Jake Brendel: Offensive Holding, 10 yards (accepted) (no play)",0.26,-1.15,7.0,2024,104
1.0,13:56,2.0,21.0,SFO 19,0.0,0.0,Brock Purdy scrambles right guard for 2 yards (tackle by George Karlaftis),-1.15,-1.48,7.0,2024,104
1.0,13:16,3.0,19.0,SFO 21,0.0,0.0,Kyle Juszczyk up the middle for 14 yards (tackle by Nazeeh Johnson and Bryan Cook),-1.48,-1.04,7.0,2024,104
1.0,12:37,4.0,5.0,SFO 35,0.0,0.0,Mitch Wishnowsky punts 50 yards downed by George Odum,-1.04,0.22,7.0,2024,104
1.0,12:25,1.0,10.0,KAN 15,0.0,0.0,Patrick Mahomes pass complete short left to Kareem Hunt for 2 yards (tackle by Dee Winters),-0.22,-0.44,7.0,2024,104
1.0,11:48,2.0,8.0,KAN 17,0.0,0.0,Kareem Hunt up the middle for 2 yards (tackle by Maliek Collins),-0.44,-0.88,7.0,2024,104
1.0,11:07,3.0,6.0,KAN 19,0.0,0.0,Patrick Mahomes pass complete short right to Mecole Hardman for 17 yards (tackle by Deommodore Lenoir),-0.88,1.33,7.0,2024,104
1.0,10:38,1.0,10.0,KAN 36,0.0,0.0,Kareem Hunt right guard for 2 yards (tackle by Malik Mustapha and Charvarius Ward),1.33,1.06,7.0,2024,104
1.0,10:04,2.0,8.0,KAN 38,0.0,0.0,Kareem Hunt up the middle for 6 yards (tackle by Sam Okuayinonu),1.06,1.16,7.0,2024,104
1.0,9:19,3.0,2.0,KAN 44,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Xavier Worthy,1.16,-0.46,7.0,2024,104
1.0,9:14,4.0,2.0,KAN 44,0.0,0.0,Jaden Hicks up the middle for 1 yard (tackle by Jordan Elliott and Ji'Ayir Brown),-0.46,-2.59,7.0,2024,104
1.0,9:10,1.0,10.0,KAN 45,0.0,0.0,Brock Purdy pass short right intended for George Kittle is intercepted by Justin Reid at KC-34 and returned for 8 yards (tackle by Deebo Samuel),2.59,-1.73,7.0,2024,104
1.0,8:59,1.0,10.0,KAN 42,0.0,0.0,Patrick Mahomes pass complete deep left to Noah Gray for 26 yards (tackle by Renardo Green),1.73,3.45,7.0,2024,104
1.0,8:19,1.0,10.0,SFO 32,0.0,0.0,Patrick Mahomes pass complete short right to Xavier Worthy for 6 yards (tackle by De'Vondre Campbell),3.45,3.71,7.0,2024,104
1.0,7:39,2.0,4.0,SFO 26,0.0,0.0,Patrick Mahomes pass incomplete deep left intended for Xavier Worthy,3.71,3.01,7.0,2024,104
