Quarter,Time,Down,ToGo,Location,PHI,NYG,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Eagles won the coin toss and deferred, Giants to receive the opening kickoff.",,,7.0,2024,101
1.0,15:00,,,PHI 35,0.0,0.0,"Jake Elliott kicks off 65 yards, touchback.. Penalty on Oren Burks: Illegal Formation, 5 yards (accepted)",0.0,1.27,7.0,2024,101
1.0,15:00,1.0,10.0,NYG 35,0.0,0.0,Daniel Jones pass complete short middle to Malik Nabers for 13 yards (tackle by Nakobe Dean and Reed Blankenship),1.27,2.13,7.0,2024,101
1.0,14:25,1.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass incomplete short middle intended for Malik Nabers (defended by Darius Slay),2.13,1.58,7.0,2024,101
1.0,14:20,2.0,10.0,NYG 48,0.0,0.0,Daniel Jones pass complete short right to Eric Gray for 7 yards (tackle by Cooper DeJean),1.58,1.82,7.0,2024,101
1.0,13:42,3.0,3.0,PHI 45,0.0,0.0,Daniel Jones pass incomplete short right intended for Wan'Dale Robinson,1.82,0.27,7.0,2024,101
1.0,13:38,4.0,3.0,PHI 45,0.0,0.0,"Matt Haack punts 29 yards, fair catch by Cooper DeJean at PHI-16",0.27,0.14,7.0,2024,101
1.0,13:32,1.0,10.0,PHI 16,0.0,0.0,Jalen Hurts pass complete short right to A.J. Brown for 11 yards (tackle by Deonte Banks),-0.14,0.74,7.0,2024,101
1.0,12:54,1.0,10.0,PHI 27,0.0,0.0,Saquon Barkley right guard for 1 yard (tackle by Dexter Lawrence),0.74,0.33,7.0,2024,101
1.0,12:17,2.0,9.0,PHI 28,0.0,0.0,Jalen Hurts sacked by Azeez Ojulari for -5 yards,0.33,-1.02,7.0,2024,101
1.0,11:34,3.0,14.0,PHI 23,0.0,0.0,Jalen Hurts pass complete short right to Saquon Barkley for 10 yards (tackle by Tyler Nubin),-1.02,-1.18,7.0,2024,101
1.0,10:47,4.0,4.0,PHI 33,0.0,0.0,"Braden Mann punts 67 yards, touchback.",-1.18,-0.28,7.0,2024,101
1.0,10:39,1.0,10.0,NYG 20,0.0,0.0,"Daniel Jones pass complete short right to Daniel Bellinger for 11 yards (tackle by Jalen Carter). Penalty on Darius Slay: Defensive Holding, 5 yards (declined)",0.28,1.0,7.0,2024,101
