Quarter,Time,Down,ToGo,Location,SEA,ATL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Seahawks to receive the opening kickoff.",,,7.0,2024,96
1.0,15:00,,,ATL 35,0.0,0.0,"Younghoe Koo kicks off 64 yards, returned by Laviska Shenault for 23 yards (tackle by Avery Williams)",0.0,0.54,7.0,2024,96
1.0,14:55,1.0,10.0,SEA 24,0.0,0.0,Geno Smith pass incomplete deep left intended for Jaxon Smith-Njigba,0.54,0.0,7.0,2024,96
1.0,14:49,2.0,10.0,SEA 24,0.0,0.0,"Geno Smith pass incomplete deep right intended for D.K. Metcalf. Penalty on AJ Terrell: Defensive Pass Interference, 17 yards (accepted) (no play)",0.0,1.66,7.0,2024,96
1.0,14:45,1.0,10.0,SEA 41,0.0,0.0,Kenneth Walker right end for 8 yards (tackle by DeAundre Alford),1.66,2.2,7.0,2024,96
1.0,14:15,2.0,2.0,SEA 49,0.0,0.0,Kenneth Walker right end for 5 yards (tackle by AJ Terrell),2.2,2.52,7.0,2024,96
1.0,13:38,1.0,10.0,ATL 46,0.0,0.0,Geno Smith pass complete deep left to D.K. Metcalf for 22 yards (tackle by Justin Simmons),2.52,3.97,7.0,2024,96
1.0,13:06,1.0,10.0,ATL 24,0.0,0.0,Kenneth Walker left tackle for no gain (tackle by Kaden Elliss),3.97,3.43,7.0,2024,96
1.0,12:27,2.0,10.0,ATL 24,0.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 5 yards (tackle by Jessie Bates),3.43,3.41,7.0,2024,96
1.0,11:46,3.0,5.0,ATL 19,0.0,0.0,Geno Smith pass complete short left to Tyler Lockett for 6 yards (tackle by Justin Simmons),3.41,4.71,7.0,2024,96
1.0,11:03,1.0,10.0,ATL 13,0.0,0.0,"Kenneth Walker right end for no gain, touchdown. Penalty on AJ Barner: Offensive Holding, 10 yards (accepted) (no play)",4.71,4.04,7.0,2024,96
1.0,10:55,1.0,20.0,ATL 23,0.0,0.0,Geno Smith pass complete short right to Jaxon Smith-Njigba for 3 yards (tackle by DeAundre Alford),4.04,3.21,7.0,2024,96
1.0,10:19,2.0,17.0,ATL 20,0.0,0.0,Geno Smith pass incomplete deep right intended for D.K. Metcalf (defended by AJ Terrell),3.21,2.54,7.0,2024,96
1.0,10:14,3.0,17.0,ATL 20,0.0,0.0,Geno Smith pass incomplete deep left intended for Tyler Lockett,2.54,2.12,7.0,2024,96
1.0,10:09,4.0,17.0,ATL 20,3.0,0.0,Jason Myers 38 yard field goal good,2.12,3.0,7.0,2024,96
1.0,10:05,,,SEA 35,3.0,0.0,"Jason Myers kicks off 62 yards, returned by Ray-Ray McCloud for 22 yards (tackle by Brady Russell)",0.0,0.61,7.0,2024,96
1.0,9:58,1.0,10.0,ATL 25,3.0,0.0,Kirk Cousins pass complete short right to Ray-Ray McCloud for 6 yards (tackle by Nehemiah Pritchett),0.61,0.87,7.0,2024,96
1.0,9:24,2.0,4.0,ATL 31,3.0,0.0,Kirk Cousins pass complete short right to Kyle Pitts for 13 yards (tackle by Jerome Baker),0.87,1.86,7.0,2024,96
1.0,8:55,1.0,10.0,ATL 44,3.0,0.0,"Penalty on Ryan Neuzil: False Start, 5 yards (accepted) (no play)",1.86,1.53,7.0,2024,96
1.0,8:48,1.0,15.0,ATL 39,3.0,0.0,Kirk Cousins pass complete short right to Kyle Pitts for 10 yards (tackle by Jerome Baker),1.53,1.99,7.0,2024,96
1.0,8:28,2.0,5.0,ATL 49,3.0,0.0,Kirk Cousins pass incomplete short left intended for Bijan Robinson,1.99,1.29,7.0,2024,96
1.0,8:23,3.0,5.0,ATL 49,3.0,0.0,"Penalty on Jake Matthews: False Start, 5 yards (accepted) (no play)",1.29,0.63,7.0,2024,96
1.0,8:23,3.0,10.0,ATL 44,3.0,0.0,"Penalty on Kyle Pitts: False Start, 5 yards (accepted) (no play)",0.63,-0.03,7.0,2024,96
1.0,8:23,3.0,15.0,ATL 39,3.0,0.0,Kirk Cousins pass complete short left to Kyle Pitts for 8 yards (tackle by Coby Bryant),-0.03,-0.26,7.0,2024,96
1.0,7:44,4.0,7.0,ATL 47,3.0,0.0,"Bradley Pinion punts 41 yards, fair catch by Dee Williams at SEA-12",-0.26,0.35,7.0,2024,96
1.0,7:36,1.0,10.0,SEA 12,3.0,0.0,"Penalty on Michael Jerrell: False Start, 5 yards (accepted) (no play)",-0.35,-0.57,7.0,2024,96
1.0,7:36,1.0,15.0,SEA 7,3.0,0.0,Geno Smith pass complete short left to D.K. Metcalf for 11 yards (tackle by DeAundre Alford),-0.57,-0.07,7.0,2024,96
1.0,7:12,2.0,4.0,SEA 18,3.0,0.0,Geno Smith pass complete short middle to Kenneth Walker for 7 yards (tackle by Kaden Elliss and Nathan Landman),-0.07,0.61,7.0,2024,96
1.0,6:33,1.0,10.0,SEA 25,3.0,0.0,Geno Smith pass complete deep left to Noah Fant for 21 yards (tackle by Justin Simmons),0.61,1.99,7.0,2024,96
1.0,5:59,1.0,10.0,SEA 46,3.0,0.0,Kenneth Walker right guard for 5 yards (tackle by Arnold Ebiketie),1.99,2.13,7.0,2024,96
1.0,5:36,2.0,5.0,ATL 49,3.0,0.0,Kenneth Walker right guard for 7 yards (tackle by Nathan Landman and Kaden Elliss),2.13,2.79,7.0,2024,96
1.0,4:58,1.0,10.0,ATL 42,3.0,0.0,Zach Charbonnet left end for -1 yards (tackle by Arnold Ebiketie),2.79,2.11,7.0,2024,96
1.0,4:18,2.0,11.0,ATL 43,3.0,0.0,Geno Smith scrambles right guard for 2 yards (tackle by Kaden Elliss and Grady Jarrett),2.11,1.68,7.0,2024,96
1.0,3:31,3.0,9.0,ATL 41,3.0,0.0,"Geno Smith aborted snap, recovered by Geno Smith at ATL-49 and returned for -8 yards",1.68,0.0,7.0,2024,96
1.0,2:47,4.0,17.0,ATL 49,3.0,0.0,Michael Dickson punts 37 yards out of bounds,0.0,0.35,7.0,2024,96
1.0,2:37,1.0,10.0,ATL 12,3.0,0.0,Bijan Robinson right end for 9 yards (tackle by Julian Love),-0.35,0.42,7.0,2024,96
1.0,2:11,2.0,1.0,ATL 21,3.0,0.0,Bijan Robinson right tackle for 5 yards (tackle by Johnathan Hankins and Jerome Baker),0.42,0.67,7.0,2024,96
1.0,1:49,1.0,10.0,ATL 26,3.0,0.0,Bijan Robinson right guard for 4 yards (tackle by Jarran Reed),0.67,0.67,7.0,2024,96
1.0,1:12,2.0,6.0,ATL 30,3.0,0.0,Kirk Cousins pass complete short left to Darnell Mooney for 11 yards (tackle by Nehemiah Pritchett),0.67,1.66,7.0,2024,96
1.0,0:29,1.0,10.0,ATL 41,3.0,0.0,Tyler Allgeier right tackle for no gain (tackle by Tyrel Dodson and Roy Robertson-Harris),1.66,1.12,7.0,2024,96
2.0,15:00,2.0,10.0,ATL 41,3.0,0.0,Kirk Cousins pass complete short middle to Kyle Pitts for 10 yards (tackle by Coby Bryant),1.12,2.32,7.0,2024,96
2.0,14:18,1.0,10.0,SEA 49,3.0,0.0,Tyler Allgeier left end for 10 yards (tackle by Coby Bryant and Devon Witherspoon),2.32,2.98,7.0,2024,96
2.0,13:36,1.0,10.0,SEA 39,3.0,0.0,Kirk Cousins pass complete short left to Ray-Ray McCloud for 3 yards (tackle by Jerome Baker),2.98,2.85,7.0,2024,96
2.0,12:58,2.0,7.0,SEA 36,3.0,0.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney,2.85,2.15,7.0,2024,96
2.0,12:52,3.0,7.0,SEA 36,3.0,0.0,Kirk Cousins pass incomplete deep right intended for Ray-Ray McCloud,2.15,0.88,7.0,2024,96
2.0,12:48,4.0,7.0,SEA 36,3.0,0.0,Younghoe Koo 54 yard field goal no good,0.88,-1.86,7.0,2024,96
