Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
Kareem Hunt,KAN,22,78,2,5.0,32,1.5,46,2.1,1,22.0,7.0,2024,104
Carson Steele,KAN,6,17,0,1.0,9,1.5,8,1.3,1,6.0,7.0,2024,104
Patrick Mahomes,KAN,5,39,1,3.0,5,1.0,34,6.8,0,,7.0,2024,104
Mecole Hardman,KAN,2,38,1,2.0,31,15.5,7,3.5,0,,7.0,2024,104
Samaje Perine,KAN,2,6,0,0.0,0,0.0,6,3.0,0,,7.0,2024,104
Jaden Hicks,KAN,1,1,0,,0,0.0,1,1.0,0,,7.0,2024,104
Xavier Worthy,KAN,1,5,0,0.0,3,3.0,2,2.0,0,,7.0,2024,104
Jordan Mason,SFO,14,58,0,3.0,29,2.1,29,2.1,2,7.0,7.0,2024,104
Brock Purdy,SFO,8,27,2,4.0,15,1.9,12,1.5,1,8.0,7.0,2024,104
Isaac Guerendo,SFO,1,2,0,0.0,1,1.0,1,1.0,0,,7.0,2024,104
Kyle Juszczyk,SFO,1,14,0,,5,5.0,9,9.0,1,1.0,7.0,2024,104
