Unnamed: 0_level_0,Unnamed: 1_level_0,Receiving,Receiving,Receiving,Receiving,Receiving,week,year,game_id
Player,Tm,Tgt,Rec,Yds,TD,Lng,,,
Jalen Hurts,PHI,0,0,0,0,0,7.0,2024,101
Kenny Pickett,PHI,0,0,0,0,0,7.0,2024,101
Saquon Barkley,PHI,3,2,11,0,10,7.0,2024,101
Kenneth Gainwell,PHI,1,1,11,0,11,7.0,2024,101
Will Shipley,PHI,0,0,0,0,0,7.0,2024,101
A.J. Brown,PHI,5,5,89,1,41,7.0,2024,101
Grant Calcaterra,PHI,1,1,5,0,5,7.0,2024,101
Parris Campbell,PHI,1,0,0,0,0,7.0,2024,101
Jahan Dotson,PHI,1,0,0,0,0,7.0,2024,101
DeVonta Smith,PHI,2,1,-2,0,-2,7.0,2024,101
Daniel Jones,NYG,0,0,0,0,0,7.0,2024,101
Drew Lock,NYG,0,0,0,0,0,7.0,2024,101
Tyrone Tracy Jr.,NYG,3,3,9,0,4,7.0,2024,101
Devin Singletary,NYG,1,1,3,0,3,7.0,2024,101
Eric Gray,NYG,1,1,7,0,7,7.0,2024,101
Malik Nabers,NYG,8,4,41,0,14,7.0,2024,101
Wan'Dale Robinson,NYG,9,6,23,0,6,7.0,2024,101
Darius Slayton,NYG,3,1,11,0,11,7.0,2024,101
Daniel Bellinger,NYG,1,1,11,0,11,7.0,2024,101
Jalin Hyatt,NYG,1,0,0,0,0,7.0,2024,101
