Unnamed: 0,BAL,TAM,week,year,game_id
First Downs,22,28,7.0,2024,106
Rush-Yds-TDs,30-244-0,30-125-1,7.0,2024,106
Cmp-Att-Yd-TD-INT,17-22-281-5-0,31-45-370-3-2,7.0,2024,106
Sacked-Yards,2-17,3-14,7.0,2024,106
Net Pass Yards,264,356,7.0,2024,106
Total Yards,508,481,7.0,2024,106
Fumbles-Lost,2-1,1-0,7.0,2024,106
Turnovers,1,2,7.0,2024,106
Penalties-Yards,9-85,8-75,7.0,2024,106
Third Down Conv.,3-8,11-17,7.0,2024,106
Fourth Down Conv.,1-1,1-1,7.0,2024,106
Time of Possession,24:55,35:05,7.0,2024,106
