Quarter,Time,Tm,Detail,DET,MIN,week,year,game_id
1.0,11:43,Vikings,Aaron Jones 34 yard rush (Will Reichard kick),0,7,7.0,2024,95
,5:34,Vikings,Will Reichard 57 yard field goal,0,10,7.0,2024,95
2.0,13:42,Lions,Jahmyr Gibbs 45 yard rush (Jake Bates kick),7,10,7.0,2024,95
,8:39,Lions,Amon-Ra St. Brown 35 yard pass from Jared Goff (Jake Bates kick),14,10,7.0,2024,95
,0:26,Lions,Jahmyr Gibbs 8 yard rush (Jake Bates kick),21,10,7.0,2024,95
3.0,10:42,Vikings,Justin Jefferson 25 yard pass from Sam Darnold (Will Reichard kick),21,17,7.0,2024,95
,5:43,Lions,Kalif Raymond 21 yard pass from Jared Goff (Jake Bates kick),28,17,7.0,2024,95
4.0,14:24,Vikings,Will Reichard 42 yard field goal,28,20,7.0,2024,95
,6:04,Vikings,Will Reichard 48 yard field goal,28,23,7.0,2024,95
,5:50,Vikings,Ivan Pace 36 yard fumble return (pass failed),28,29,7.0,2024,95
,0:15,Lions,Jake Bates 44 yard field goal,31,29,7.0,2024,95
