Quarter,Time,Tm,Detail,LAC,ARI,week,year,game_id
2.0,11:59,Chargers,Cameron Dicker 59 yard field goal,3,0,7.0,2024,107
,5:40,Cardinals,Greg Dortch 5 yard pass from Kyler Murray (Chad Ryland kick),3,7,7.0,2024,107
,0:00,Chargers,Cameron Dicker 50 yard field goal,6,7,7.0,2024,107
3.0,0:40,Chargers,Cameron Dicker 28 yard field goal,9,7,7.0,2024,107
4.0,14:14,Cardinals,Kyler Murray 44 yard rush (Chad Ryland kick),9,14,7.0,2024,107
,12:09,Chargers,Cameron Dicker 47 yard field goal,12,14,7.0,2024,107
,1:54,Chargers,Cameron Dicker 40 yard field goal,15,14,7.0,2024,107
,0:00,Cardinals,Chad Ryland 32 yard field goal,15,17,7.0,2024,107
