Unnamed: 0,KAN,SFO,week,year,game_id
First Downs,22,19,7.0,2024,104
Rush-Yds-TDs,39-184-4,24-101-2,7.0,2024,104
Cmp-Att-Yd-TD-INT,16-27-154-0-2,17-31-212-0-3,7.0,2024,104
Sacked-Yards,2-9,1-3,7.0,2024,104
Net Pass Yards,145,209,7.0,2024,104
Total Yards,329,310,7.0,2024,104
Fumbles-Lost,0-0,1-0,7.0,2024,104
Turnovers,2,3,7.0,2024,104
Penalties-Yards,4-48,6-40,7.0,2024,104
Third Down Conv.,8-14,2-11,7.0,2024,104
Fourth Down Conv.,1-2,1-1,7.0,2024,104
Time of Possession,35:04,24:56,7.0,2024,104
