Unnamed: 0,MIA,IND,week,year,game_id
First Downs,18,16,7.0,2024,99
Rush-Yds-TDs,40-188-0,37-155-1,7.0,2024,99
Cmp-Att-Yd-TD-INT,15-26-161-1-0,10-24-129-0-0,7.0,2024,99
Sacked-Yards,2-12,0-0,7.0,2024,99
Net Pass Yards,149,129,7.0,2024,99
Total Yards,337,284,7.0,2024,99
Fumbles-Lost,2-2,1-1,7.0,2024,99
Turnovers,2,1,7.0,2024,99
Penalties-Yards,6-50,4-25,7.0,2024,99
Third Down Conv.,6-15,4-13,7.0,2024,99
Fourth Down Conv.,0-1,0-0,7.0,2024,99
Time of Possession,31:11,28:49,7.0,2024,99
