Quarter,Time,Down,ToGo,Location,CAR,WAS,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Commanders won the coin toss and deferred, Panthers to receive the opening kickoff.",,,7.0,2024,102
1.0,15:00,,,WAS 35,0.0,0.0,"Austin Seibert kicks off 59 yards, returned by Raheem Blackshear for 18 yards (tackle by Colson Yankoff). Penalty on Lonnie Johnson: Offensive Holding, 10 yards (accepted)",0.0,-0.28,7.0,2024,102
1.0,14:55,1.0,10.0,CAR 14,0.0,0.0,Andy Dalton pass complete short right to Ja'Tavion Sanders for 7 yards (tackle by Benjamin St-Juste),-0.28,0.28,7.0,2024,102
1.0,14:24,2.0,3.0,CAR 21,0.0,0.0,Chuba Hubbard left end for 4 yards (tackle by Mike Sainristil and Quan Martin),0.28,0.61,7.0,2024,102
1.0,13:51,1.0,10.0,CAR 25,0.0,0.0,Miles Sanders left end for 26 yards (tackle by Noah Igbinoghene),0.61,2.32,7.0,2024,102
1.0,13:19,1.0,10.0,WAS 49,0.0,0.0,Chuba Hubbard left tackle for 6 yards (tackle by Bobby Wagner and Daron Payne),2.32,2.59,7.0,2024,102
1.0,12:37,2.0,4.0,WAS 43,0.0,0.0,"Andy Dalton pass complete deep right to Diontae Johnson for 17 yards (tackle by Mike Sainristil). Penalty on Clelin Ferrell: Defensive Offside, 5 yards (declined)",2.59,3.84,7.0,2024,102
1.0,12:13,1.0,10.0,WAS 26,0.0,0.0,Andy Dalton pass incomplete short left intended for Xavier Legette,3.84,3.3,7.0,2024,102
1.0,12:08,2.0,10.0,WAS 26,0.0,0.0,Chuba Hubbard left end for 1 yard (tackle by Clelin Ferrell),3.3,2.74,7.0,2024,102
1.0,11:27,3.0,9.0,WAS 25,0.0,6.0,"Andy Dalton pass short right intended for Miles Sanders is intercepted by Dante Fowler at WAS-33 and returned for 67 yards, touchdown",2.74,-7.0,7.0,2024,102
1.0,11:14,,,CAR 15,0.0,7.0,Austin Seibert kicks extra point good,0.0,0.0,7.0,2024,102
1.0,11:14,,,WAS 35,0.0,7.0,"Austin Seibert kicks off 60 yards, returned by Raheem Blackshear for 30 yards (tackle by Jeremy Chinn)",0.0,1.27,7.0,2024,102
1.0,11:09,1.0,10.0,CAR 35,0.0,7.0,Chuba Hubbard left guard for 1 yard (tackle by Jamin Davis and Frankie Luvu),1.27,0.86,7.0,2024,102
1.0,10:28,2.0,9.0,CAR 36,0.0,7.0,Andy Dalton pass complete short middle to Ja'Tavion Sanders for 5 yards (tackle by Noah Igbinoghene),0.86,0.83,7.0,2024,102
1.0,9:51,3.0,4.0,CAR 41,0.0,7.0,Andy Dalton pass incomplete short middle intended for Diontae Johnson (defended by Mike Sainristil),0.83,-0.65,7.0,2024,102
1.0,9:46,4.0,4.0,CAR 41,0.0,7.0,"Johnny Hekker punts 49 yards, fair catch by Olamide Zaccheaus at WAS-10",-0.65,0.38,7.0,2024,102
1.0,9:38,1.0,10.0,WAS 10,0.0,7.0,Jayden Daniels right end for 46 yards (tackle by Marquis Haynes and Lonnie Johnson),-0.38,2.65,7.0,2024,102
1.0,8:53,1.0,10.0,CAR 44,0.0,7.0,Austin Ekeler right tackle for 5 yards (tackle by Nick Thurman),2.65,2.78,7.0,2024,102
1.0,8:19,2.0,5.0,CAR 39,0.0,7.0,"Penalty on Tyler Biadasz: False Start, 5 yards (accepted) (no play)",2.78,2.11,7.0,2024,102
1.0,8:00,2.0,10.0,CAR 44,0.0,7.0,Jeremy McNichols left guard for 9 yards (tackle by Chandler Wooten),2.11,2.61,7.0,2024,102
1.0,7:15,3.0,1.0,CAR 35,0.0,7.0,Brian Robinson left end for 3 yards (tackle by Xavier Woods and Trevin Wallace),2.61,3.45,7.0,2024,102
1.0,6:54,1.0,10.0,CAR 32,0.0,7.0,Brian Robinson up the middle for 11 yards (tackle by Nick Scott),3.45,4.17,7.0,2024,102
