Player,Tm,Att,Yds,TD,1D,YBC,YBC/Att,YAC,YAC/Att,BrkTkl,Att/Br,week,year,game_id
De'Von Achane,MIA,15,77,0,3.0,48,3.2,29,1.9,0,,7.0,2024,99
Raheem Mostert,MIA,11,50,0,2.0,42,3.8,8,0.7,0,,7.0,2024,99
Tyler Huntley,MIA,5,20,0,2.0,19,3.8,1,0.2,0,,7.0,2024,99
Jaylen Wright,MIA,5,33,0,1.0,15,3.0,18,3.6,0,,7.0,2024,99
Alec Ingold,MIA,2,-1,0,0.0,-1,-0.5,0,0.0,0,,7.0,2024,99
Tim Boyle,MIA,1,4,0,1.0,3,3.0,1,1.0,0,,7.0,2024,99
Tyreek Hill,MIA,1,5,0,,5,5.0,0,0.0,0,,7.0,2024,99
Tyler Goodson,IND,14,51,1,2.0,30,2.1,21,1.5,0,,7.0,2024,99
Anthony Richardson,IND,14,56,0,3.0,46,3.3,10,0.7,0,,7.0,2024,99
Trey Sermon,IND,8,36,0,4.0,22,2.8,14,1.8,1,8.0,7.0,2024,99
Ashton Dulin,IND,1,12,0,1.0,10,10.0,2,2.0,0,,7.0,2024,99
