Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Chiefs,11.0,5.57,-3.62,9.19,-8.1,4.03,1.81,0.22,11.54,2.89,-5.03,5.93,3.68,-0.49,-1.2,7.0,2024,104
49ers,-11.0,-4.03,-1.81,-0.22,-11.54,-5.57,3.62,-9.19,8.1,-2.89,-5.93,5.03,0.49,-3.68,1.2,7.0,2024,104
