Unnamed: 0,DEN,NOR,week,year,game_id
First Downs,22,15,7.0,2024,93
Rush-Yds-TDs,35-225-2,21-97-0,7.0,2024,93
Cmp-Att-Yd-TD-INT,16-26-164-0-0,28-39-210-1-0,7.0,2024,93
Sacked-Yards,0-0,6-36,7.0,2024,93
Net Pass Yards,164,174,7.0,2024,93
Total Yards,389,271,7.0,2024,93
Fumbles-Lost,1-1,2-2,7.0,2024,93
Turnovers,1,2,7.0,2024,93
Penalties-Yards,7-47,5-35,7.0,2024,93
Third Down Conv.,4-11,5-17,7.0,2024,93
Fourth Down Conv.,0-0,3-4,7.0,2024,93
Time of Possession,33:16,26:44,7.0,2024,93
