Quarter,Time,Down,ToGo,Location,DET,MIN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Vikings won the coin toss and deferred, Lions to receive the opening kickoff.",,,7.0,2024,95
1.0,15:00,,,MIN 35,0.0,0.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,95
1.0,15:00,1.0,10.0,DET 30,0.0,0.0,David Montgomery right tackle for 3 yards (tackle by Jonathan Greenard),0.94,0.8,7.0,2024,95
1.0,14:23,2.0,7.0,DET 33,0.0,0.0,"David Montgomery up the middle for 5 yards (tackle by Harrison Phillips). Penalty on Kayode Awosika: Offensive Holding, 10 yards (accepted) (no play)",0.8,-0.55,7.0,2024,95
1.0,14:00,2.0,17.0,DET 23,0.0,0.0,"Jared Goff sacked by Andrew Van Ginkel for -9 yards. Penalty on Kayode Awosika: Offensive Holding, 10 yards (declined)",-0.55,-3.07,7.0,2024,95
1.0,13:31,3.0,26.0,DET 14,0.0,0.0,Jared Goff pass complete short middle to David Montgomery for 19 yards (tackle by Camryn Bynum and Harrison Smith),-3.07,-1.18,7.0,2024,95
1.0,12:36,4.0,7.0,DET 33,0.0,0.0,Jalen Reeves-Maybin right end for 1 yard (tackle by Josh Metellus and C.J. Ham),-1.18,-3.31,7.0,2024,95
1.0,12:31,1.0,10.0,DET 34,0.0,0.0,Sam Darnold pass complete short right to Justin Jefferson for no gain (tackle by Malcolm Rodriguez and Isaac Ukwu),3.31,2.77,7.0,2024,95
1.0,11:50,2.0,10.0,DET 34,0.0,6.0,"Aaron Jones left tackle for 34 yards, touchdown",2.77,7.0,7.0,2024,95
1.0,11:43,,,DET 15,0.0,7.0,Will Reichard kicks extra point good,0.0,0.0,7.0,2024,95
1.0,11:43,,,MIN 35,0.0,7.0,"Will Reichard kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,95
1.0,11:43,,,,,,Timeout #1 by Detroit Lions,,,7.0,2024,95
1.0,11:43,1.0,10.0,DET 30,0.0,7.0,Jared Goff pass complete short right to Jahmyr Gibbs for 2 yards (tackle by Andrew Van Ginkel),0.94,0.66,7.0,2024,95
1.0,11:11,2.0,8.0,DET 32,0.0,7.0,Jahmyr Gibbs left tackle for 5 yards (tackle by Jerry Tillery and Andrew Van Ginkel),0.66,0.63,7.0,2024,95
