Unnamed: 0_level_0,Unnamed: 1_level_0,Off.,Off.,Def.,Def.,ST,ST,home_team,team,week,year,game_id
Player,Pos,Num,Pct,Num,Pct,Num,Pct,,,,,
Brandon Scherff,G,61,100%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Ezra Cleveland,G,61,100%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Anton Harrison,T,61,100%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Trevor Lawrence,QB,61,100%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Mitch Morse,C,59,97%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Walker Little,T,56,92%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Gabriel Davis,WR,42,69%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Brian Thomas,WR,40,66%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Tank Bigsby,RB,40,66%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Christian Kirk,WR,35,57%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Evan Engram,TE,34,56%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Luke Farrell,TE,31,51%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Brenton Strange,TE,28,46%,0,0%,12,55%,1,Jaguars,7.0,2024,94
Parker Washington,WR,21,34%,0,0%,8,36%,1,Jaguars,7.0,2024,94
D'Ernest Johnson,RB,21,34%,0,0%,2,9%,1,Jaguars,7.0,2024,94
Tim Jones,WR,10,16%,0,0%,16,73%,1,Jaguars,7.0,2024,94
Cam Robinson,T,5,8%,0,0%,0,0%,1,Jaguars,7.0,2024,94
Josiah Deguara,TE,3,5%,0,0%,16,73%,1,Jaguars,7.0,2024,94
Luke Fortner,C,2,3%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Darnell Savage Jr.,SS,0,0%,60,100%,0,0%,1,Jaguars,7.0,2024,94
Andre Cisco,SS,0,0%,60,100%,0,0%,1,Jaguars,7.0,2024,94
Devin Lloyd,LB,0,0%,58,97%,4,18%,1,Jaguars,7.0,2024,94
Josh Hines-Allen,DE,0,0%,51,85%,2,9%,1,Jaguars,7.0,2024,94
Travon Walker,DE,0,0%,49,82%,2,9%,1,Jaguars,7.0,2024,94
Tyson Campbell,CB,0,0%,46,77%,0,0%,1,Jaguars,7.0,2024,94
Jarrian Jones,CB,0,0%,45,75%,12,55%,1,Jaguars,7.0,2024,94
Ronald Darby,CB,0,0%,43,72%,1,5%,1,Jaguars,7.0,2024,94
Ventrell Miller,LB,0,0%,35,58%,4,18%,1,Jaguars,7.0,2024,94
Montaric Brown,CB,0,0%,31,52%,7,32%,1,Jaguars,7.0,2024,94
DaVon Hamilton,DT,0,0%,31,52%,2,9%,1,Jaguars,7.0,2024,94
Arik Armstead,DE,0,0%,31,52%,0,0%,1,Jaguars,7.0,2024,94
Chad Muma,LB,0,0%,23,38%,16,73%,1,Jaguars,7.0,2024,94
Jeremiah Ledbetter,DT,0,0%,23,38%,2,9%,1,Jaguars,7.0,2024,94
Antonio Johnson,FS,0,0%,19,32%,16,73%,1,Jaguars,7.0,2024,94
Yasir Abdullah,LB,0,0%,18,30%,18,82%,1,Jaguars,7.0,2024,94
Tyler Lacy,DT,0,0%,17,28%,4,18%,1,Jaguars,7.0,2024,94
Joe Gaziano,DE,0,0%,10,17%,8,36%,1,Jaguars,7.0,2024,94
Jordan Jefferson,DT,0,0%,10,17%,0,0%,1,Jaguars,7.0,2024,94
Caleb Johnson,LB,0,0%,0,0%,18,82%,1,Jaguars,7.0,2024,94
Daniel Thomas,SS,0,0%,0,0%,18,82%,1,Jaguars,7.0,2024,94
Cam Little,K,0,0%,0,0%,10,45%,1,Jaguars,7.0,2024,94
Logan Cooke,P,0,0%,0,0%,6,27%,1,Jaguars,7.0,2024,94
Ross Matiscik,LS,0,0%,0,0%,6,27%,1,Jaguars,7.0,2024,94
Deantre Prince,CB,0,0%,0,0%,4,18%,1,Jaguars,7.0,2024,94
Cooper Hodges,G,0,0%,0,0%,4,18%,1,Jaguars,7.0,2024,94
