Unnamed: 0_level_0,Unnamed: 1_level_0,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,Special Teams,week,year,game_id
Tm,Total,Tot,Pass,Rush,TOvr,Tot,Pass,Rush,TOvr,Tot,KO,KR,P,PR,FG/XP,,,
Falcons,-20.0,-0.56,-1.28,3.49,-16.53,-13.35,-14.58,1.07,0.0,-3.91,-2.88,5.65,1.09,-1.74,-6.03,7.0,2024,96
Seahawks,20.0,13.35,14.58,-1.07,0.0,0.56,1.28,-3.49,16.53,3.91,-5.65,2.88,1.74,-1.09,6.03,7.0,2024,96
