Unnamed: 0,CAR,WAS,week,year,game_id
First Downs,10,26,7.0,2024,102
Rush-Yds-TDs,23-95-1,37-214-1,7.0,2024,102
Cmp-Att-Yd-TD-INT,13-18-89-0-2,20-25-211-2-0,7.0,2024,102
Sacked-Yards,2-4,1-4,7.0,2024,102
Net Pass Yards,85,207,7.0,2024,102
Total Yards,180,421,7.0,2024,102
Fumbles-Lost,1-0,1-0,7.0,2024,102
Turnovers,2,0,7.0,2024,102
Penalties-Yards,6-59,8-55,7.0,2024,102
Third Down Conv.,3-10,5-10,7.0,2024,102
Fourth Down Conv.,0-1,0-0,7.0,2024,102
Time of Possession,24:55,35:05,7.0,2024,102
