Unnamed: 0,PHI,NYG,week,year,game_id
First Downs,20,10,7.0,2024,101
Rush-Yds-TDs,45-269-3,18-76-0,7.0,2024,101
Cmp-Att-Yd-TD-INT,10-15-114-1-0,17-29-105-0-0,7.0,2024,101
Sacked-Yards,5-44,8-62,7.0,2024,101
Net Pass Yards,70,43,7.0,2024,101
Total Yards,339,119,7.0,2024,101
Fumbles-Lost,0-0,3-0,7.0,2024,101
Turnovers,0,0,7.0,2024,101
Penalties-Yards,6-35,5-35,7.0,2024,101
Third Down Conv.,1-13,3-14,7.0,2024,101
Fourth Down Conv.,3-3,0-0,7.0,2024,101
Time of Possession,35:20,24:40,7.0,2024,101
