Unnamed: 0,NWE,JAX,week,year,game_id
First Downs,17,23,7.0,2024,94
Rush-Yds-TDs,15-38-0,39-171-2,7.0,2024,94
Cmp-Att-Yd-TD-INT,26-37-276-2-0,15-20-193-1-0,7.0,2024,94
Sacked-Yards,2-19,0-0,7.0,2024,94
Net Pass Yards,257,193,7.0,2024,94
Total Yards,295,364,7.0,2024,94
Fumbles-Lost,0-0,0-0,7.0,2024,94
Turnovers,0,0,7.0,2024,94
Penalties-Yards,7-35,4-24,7.0,2024,94
Third Down Conv.,6-12,6-10,7.0,2024,94
Fourth Down Conv.,0-1,0-1,7.0,2024,94
Time of Possession,26:45,33:15,7.0,2024,94
