Quarter,Time,Down,ToGo,Location,NYJ,PIT,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Jets won the coin toss and deferred, Steelers to receive the opening kickoff.",,,7.0,2024,105
1.0,15:00,,,NYJ 35,0.0,0.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
1.0,15:00,1.0,10.0,PIT 30,0.0,0.0,Najee Harris right guard for 4 yards (tackle by Micheal Clemons),0.94,0.93,7.0,2024,105
1.0,14:25,2.0,6.0,PIT 34,0.0,0.0,Russell Wilson pass complete short right to Darnell Washington for 15 yards (tackle by Brandin Echols),0.93,2.19,7.0,2024,105
1.0,13:49,1.0,10.0,PIT 49,0.0,0.0,Najee Harris right end for 18 yards (tackle by Tony Adams and Jamien Sherwood),2.19,3.38,7.0,2024,105
1.0,13:05,1.0,10.0,NYJ 33,0.0,0.0,Russell Wilson scrambles right tackle for 1 yard (tackle by Javon Kinlaw),3.38,2.97,7.0,2024,105
1.0,12:27,2.0,9.0,NYJ 32,0.0,0.0,Jaylen Warren left tackle for 4 yards (tackle by C.J. Mosley),2.97,2.81,7.0,2024,105
1.0,11:43,3.0,5.0,NYJ 28,0.0,0.0,Russell Wilson pass incomplete short right,2.81,1.63,7.0,2024,105
1.0,11:37,4.0,5.0,NYJ 28,0.0,3.0,Chris Boswell 46 yard field goal good,1.63,3.0,7.0,2024,105
1.0,11:33,,,PIT 35,0.0,3.0,"Chris Boswell kicks off 68 yards, returned by Isaiah Davis for 25 yards (tackle by Connor Heyward)",0.0,0.41,7.0,2024,105
1.0,11:28,1.0,10.0,NYJ 22,0.0,3.0,Aaron Rodgers pass incomplete short right intended for Davante Adams,0.41,-0.13,7.0,2024,105
1.0,11:24,2.0,10.0,NYJ 22,0.0,3.0,Breece Hall left guard for 2 yards (tackle by Patrick Queen and Alex Highsmith),-0.13,-0.56,7.0,2024,105
1.0,10:42,3.0,8.0,NYJ 24,0.0,3.0,Aaron Rodgers sacked by Larry Ogunjobi for -7 yards,-0.56,-2.32,7.0,2024,105
1.0,9:51,4.0,15.0,NYJ 17,0.0,3.0,"Thomas Morstead punts 47 yards, fair catch by Calvin Austin at PIT-36",-2.32,-1.33,7.0,2024,105
1.0,9:43,1.0,10.0,PIT 36,0.0,3.0,Russell Wilson pass complete short left to Jaylen Warren for 4 yards (tackle by Brandin Echols and Tony Adams),1.33,1.33,7.0,2024,105
1.0,9:07,2.0,6.0,PIT 40,0.0,3.0,Jaylen Warren right guard for 5 yards (tackle by Leonard Taylor),1.33,1.29,7.0,2024,105
1.0,8:23,3.0,1.0,PIT 45,0.0,3.0,Russell Wilson pass incomplete short right intended for Calvin Austin,1.29,-0.39,7.0,2024,105
1.0,8:16,4.0,1.0,PIT 45,0.0,3.0,Corliss Waitman punts 43 yards. Xavier Gipson fumbles out of bounds,-0.39,-0.04,7.0,2024,105
1.0,8:08,1.0,10.0,NYJ 18,0.0,3.0,"Breece Hall left tackle for -1 yards (tackle by Larry Ogunjobi and Alex Highsmith). Penalty on Larry Ogunjobi: Unnecessary Roughness / Defense, 15 yards (accepted)",0.04,1.07,7.0,2024,105
1.0,7:46,1.0,10.0,NYJ 32,0.0,3.0,Aaron Rodgers pass complete short right to Breece Hall for 18 yards (tackle by Minkah Fitzpatrick),1.07,2.26,7.0,2024,105
1.0,7:03,1.0,10.0,PIT 50,0.0,3.0,Aaron Rodgers pass complete short left to Davante Adams for 9 yards (tackle by Joey Porter),2.26,2.93,7.0,2024,105
1.0,6:24,2.0,1.0,PIT 41,0.0,3.0,Breece Hall right tackle for -3 yards (tackle by DeShon Elliott and T.J. Watt),2.93,1.82,7.0,2024,105
1.0,5:47,3.0,4.0,PIT 44,0.0,3.0,Aaron Rodgers pass complete short left to Allen Lazard for 4 yards (tackle by Beanie Bishop),1.82,2.92,7.0,2024,105
1.0,4:52,1.0,10.0,PIT 40,0.0,3.0,Aaron Rodgers pass complete short left to Breece Hall for 13 yards (tackle by DeShon Elliott and Joey Porter),2.92,3.78,7.0,2024,105
1.0,3:53,1.0,10.0,PIT 27,0.0,3.0,Aaron Rodgers pass complete short right to Braelon Allen for 2 yards (tackle by Patrick Queen),3.78,3.5,7.0,2024,105
1.0,3:13,2.0,8.0,PIT 25,0.0,3.0,Aaron Rodgers pass complete short left to Garrett Wilson for 12 yards (tackle by Minkah Fitzpatrick),3.5,4.71,7.0,2024,105
1.0,2:33,1.0,10.0,PIT 13,6.0,3.0,"Breece Hall left tackle for 13 yards, touchdown",4.71,7.0,7.0,2024,105
1.0,2:27,,,PIT 15,7.0,3.0,Greg Zuerlein kicks extra point good,0.0,0.0,7.0,2024,105
1.0,2:27,,,NYJ 35,7.0,3.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
1.0,2:27,1.0,10.0,PIT 30,7.0,3.0,Russell Wilson pass incomplete short left intended for George Pickens,0.94,0.39,7.0,2024,105
1.0,2:23,2.0,10.0,PIT 30,7.0,3.0,Najee Harris right end for -2 yards (tackle by Jalen Mills),0.39,-0.56,7.0,2024,105
1.0,1:55,3.0,12.0,PIT 28,7.0,3.0,Russell Wilson pass incomplete short left intended for Pat Freiermuth (defended by Will McDonald),-0.56,-1.5,7.0,2024,105
1.0,1:47,4.0,12.0,PIT 28,7.0,3.0,"Corliss Waitman punts 55 yards, returned by Xavier Gipson for 4 yards. Xavier Gipson fumbles, ball out of bounds at NYJ-21 (forced by James Pierre). Xavier Gipson fumbles out of bounds",-1.5,-0.34,7.0,2024,105
1.0,1:38,1.0,10.0,NYJ 21,7.0,3.0,Breece Hall left end for -1 yards (tackle by Donte Jackson),0.34,-0.34,7.0,2024,105
1.0,0:55,2.0,11.0,NYJ 20,7.0,3.0,Aaron Rodgers pass incomplete deep middle intended for Davante Adams,-0.34,-1.02,7.0,2024,105
1.0,0:49,3.0,11.0,NYJ 20,7.0,3.0,Aaron Rodgers pass incomplete deep left intended for Garrett Wilson,-1.02,-2.03,7.0,2024,105
1.0,0:45,4.0,11.0,NYJ 20,7.0,3.0,"Thomas Morstead punts 46 yards, returned by Calvin Austin for no gain (tackle by Qwan'tez Stiggers)",-2.03,-1.2,7.0,2024,105
1.0,0:37,1.0,10.0,PIT 34,7.0,3.0,Najee Harris right tackle for 2 yards (tackle by C.J. Mosley),1.2,0.93,7.0,2024,105
2.0,15:00,2.0,8.0,PIT 36,7.0,3.0,Russell Wilson pass incomplete short left intended for Calvin Austin,0.93,0.23,7.0,2024,105
2.0,14:58,3.0,8.0,PIT 36,7.0,3.0,Russell Wilson pass incomplete short left intended for Calvin Austin,0.23,-0.98,7.0,2024,105
2.0,14:53,4.0,8.0,PIT 36,7.0,3.0,"Corliss Waitman punts 51 yards, fair catch by Xavier Gipson at NYJ-13",-0.98,0.32,7.0,2024,105
2.0,14:45,1.0,10.0,NYJ 13,7.0,3.0,"Breece Hall right tackle for no gain (tackle by Larry Ogunjobi). Penalty on Alijah Vera-Tucker: Offensive Holding, 6 yards (accepted) (no play)",-0.32,-0.61,7.0,2024,105
2.0,14:18,1.0,16.0,NYJ 7,7.0,3.0,Aaron Rodgers pass complete short left to Breece Hall for 5 yards (tackle by Patrick Queen and Payton Wilson),-0.61,-0.85,7.0,2024,105
2.0,13:44,2.0,11.0,NYJ 12,7.0,3.0,Aaron Rodgers pass incomplete short left intended for Davante Adams (defended by Cameron Heyward),-0.85,-1.54,7.0,2024,105
2.0,13:36,3.0,11.0,NYJ 12,7.0,3.0,Aaron Rodgers pass complete short middle to Davante Adams for 10 yards (tackle by Beanie Bishop),-1.54,-1.9,7.0,2024,105
2.0,12:53,4.0,1.0,NYJ 22,7.0,3.0,"Thomas Morstead punts 47 yards, fair catch by Calvin Austin at PIT-31",-1.9,-1.0,7.0,2024,105
2.0,12:45,1.0,10.0,PIT 31,7.0,3.0,Najee Harris right tackle for 1 yard (tackle by Jalen Mills and Quinnen Williams),1.0,0.6,7.0,2024,105
2.0,12:05,2.0,9.0,PIT 32,7.0,3.0,"Najee Harris right end for 2 yards (tackle by Quincy Williams and Jamien Sherwood). Penalty on Pat Freiermuth: Offensive Holding, 10 yards (accepted)",0.6,-0.49,7.0,2024,105
2.0,11:35,2.0,17.0,PIT 24,7.0,3.0,Russell Wilson pass complete deep left to George Pickens for 44 yards (tackle by Brandin Echols),-0.49,3.45,7.0,2024,105
2.0,10:53,1.0,10.0,NYJ 32,7.0,3.0,Jaylen Warren left guard for 3 yards (tackle by Will McDonald),3.45,3.31,7.0,2024,105
2.0,10:17,2.0,7.0,NYJ 29,7.0,3.0,Russell Wilson pass complete short right to Darnell Washington for 18 yards (tackle by Sauce Gardner),3.31,4.84,7.0,2024,105
2.0,9:35,1.0,10.0,NYJ 11,7.0,3.0,Najee Harris right tackle for 5 yards (tackle by Javon Kinlaw and Jamien Sherwood),4.84,5.08,7.0,2024,105
2.0,9:09,2.0,5.0,NYJ 6,7.0,3.0,Najee Harris left guard for -5 yards (tackle by Quincy Williams),5.08,3.13,7.0,2024,105
2.0,8:32,3.0,10.0,NYJ 11,7.0,3.0,Russell Wilson pass incomplete short right,3.13,2.7,7.0,2024,105
2.0,8:24,4.0,10.0,NYJ 11,7.0,6.0,Chris Boswell 29 yard field goal good,2.7,3.0,7.0,2024,105
2.0,8:20,,,PIT 35,7.0,6.0,"Chris Boswell kicks off 66 yards, returned by Xavier Gipson for 29 yards (tackle by James Pierre)",0.0,0.81,7.0,2024,105
2.0,8:13,1.0,10.0,NYJ 28,7.0,6.0,Aaron Rodgers pass complete short middle to Davante Adams for 11 yards (tackle by Donte Jackson),0.81,1.53,7.0,2024,105
2.0,7:43,1.0,10.0,NYJ 39,7.0,6.0,Braelon Allen up the middle for 1 yard (tackle by Cameron Heyward),1.53,1.12,7.0,2024,105
2.0,7:00,2.0,9.0,NYJ 40,7.0,6.0,Aaron Rodgers pass complete short middle to Breece Hall for 57 yards (tackle by Minkah Fitzpatrick),1.12,6.51,7.0,2024,105
2.0,6:20,,,,,,Timeout #1 by New York Jets,,,7.0,2024,105
2.0,6:20,1.0,3.0,PIT 3,7.0,6.0,Aaron Rodgers pass incomplete short right intended for Irvin Charles,6.51,5.53,7.0,2024,105
2.0,6:16,2.0,3.0,PIT 3,7.0,6.0,Breece Hall up the middle for 2 yards (tackle by Alex Highsmith and Beanie Bishop),5.53,5.17,7.0,2024,105
2.0,5:34,3.0,1.0,PIT 1,13.0,6.0,"Aaron Rodgers pass complete short left to Tyler Conklin for 1 yard, touchdown",5.17,7.0,7.0,2024,105
2.0,5:29,,,PIT 15,13.0,6.0,"Greg Zuerlein kicks extra point blocked. Penalty on Patrick Queen: Leverage, 1 yard (accepted) (no play)",0.0,1.0,7.0,2024,105
2.0,5:29,,,PIT 1,15.0,6.0,Two Point Attempt: Aaron Rodgers pass complete to to Garrett Wilson for no gain,1.0,1.0,7.0,2024,105
2.0,5:29,,,NYJ 35,15.0,6.0,"Greg Zuerlein kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,105
2.0,5:29,1.0,10.0,PIT 30,15.0,6.0,Russell Wilson pass complete short left to Pat Freiermuth for 30 yards (tackle by Jalen Mills and Tony Adams),0.94,2.92,7.0,2024,105
