Unnamed: 0,LVR,LAR,week,year,game_id
First Downs,20,15,7.0,2024,103
Rush-Yds-TDs,29-122-0,28-115-2,7.0,2024,103
Cmp-Att-Yd-TD-INT,21-44-206-0-3,14-23-154-0-1,7.0,2024,103
Sacked-Yards,2-11,1-10,7.0,2024,103
Net Pass Yards,195,144,7.0,2024,103
Total Yards,317,259,7.0,2024,103
Fumbles-Lost,1-1,0-0,7.0,2024,103
Turnovers,4,1,7.0,2024,103
Penalties-Yards,10-80,3-28,7.0,2024,103
Third Down Conv.,3-15,2-10,7.0,2024,103
Fourth Down Conv.,1-1,0-1,7.0,2024,103
Time of Possession,33:48,26:12,7.0,2024,103
