Unnamed: 0,SEA,ATL,week,year,game_id
First Downs,20,22,7.0,2024,96
Rush-Yds-TDs,26-103-1,32-155-1,7.0,2024,96
Cmp-Att-Yd-TD-INT,19-29-242-2-0,25-36-246-1-2,7.0,2024,96
Sacked-Yards,1-6,3-32,7.0,2024,96
Net Pass Yards,236,214,7.0,2024,96
Total Yards,339,369,7.0,2024,96
Fumbles-Lost,1-0,1-1,7.0,2024,96
Turnovers,0,3,7.0,2024,96
Penalties-Yards,5-42,9-72,7.0,2024,96
Third Down Conv.,4-11,8-15,7.0,2024,96
Fourth Down Conv.,1-1,2-2,7.0,2024,96
Time of Possession,28:52,31:08,7.0,2024,96
