Quarter,Time,Down,ToGo,Location,DEN,NOR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Saints won the coin toss and deferred, Broncos to receive the opening kickoff.",,,7.0,2024,93
1.0,15:00,,,NOR 35,0.0,0.0,"Blake Grupe kicks off 61 yards, returned by Marvin Mims for 31 yards (tackle by Blake Grupe)",0.0,1.27,7.0,2024,93
1.0,14:54,1.0,10.0,DEN 35,0.0,0.0,Bo Nix scrambles up the middle for 14 yards (tackle by Jordan Howden and Tyrann Mathieu),1.27,2.19,7.0,2024,93
1.0,14:12,1.0,10.0,DEN 49,0.0,0.0,Bo Nix pass complete short right to Troy Franklin for 2 yards (tackle by Paulson Adebo),2.19,1.92,7.0,2024,93
1.0,13:32,2.0,8.0,NOR 49,0.0,0.0,Bo Nix right end for 8 yards (tackle by Paulson Adebo),1.92,2.85,7.0,2024,93
1.0,12:56,1.0,10.0,NOR 41,0.0,0.0,Bo Nix pass incomplete deep left intended for Lucas Krull,2.85,2.31,7.0,2024,93
1.0,12:48,2.0,10.0,NOR 41,0.0,0.0,Bo Nix pass incomplete deep left intended for Troy Franklin,2.31,1.62,7.0,2024,93
1.0,12:40,3.0,10.0,NOR 41,0.0,0.0,Bo Nix pass incomplete short middle intended for Adam Trautman,1.62,0.53,7.0,2024,93
1.0,12:36,4.0,10.0,NOR 41,0.0,0.0,"Riley Dixon punts 33 yards, fair catch by Jermaine Jackson at NO-8",0.53,0.38,7.0,2024,93
1.0,12:30,1.0,10.0,NOR 8,0.0,0.0,Spencer Rattler pass complete deep left to Foster Moreau for 32 yards (tackle by P.J. Locke),-0.38,1.6,7.0,2024,93
1.0,11:55,1.0,10.0,NOR 40,0.0,0.0,Alvin Kamara right tackle for 1 yard (tackle by John Franklin-Myers and D.J. Jones),1.6,1.19,7.0,2024,93
1.0,11:26,2.0,9.0,NOR 41,0.0,0.0,Spencer Rattler pass incomplete deep right intended for Mason Tipton (defended by Cody Barton),1.19,0.5,7.0,2024,93
1.0,11:08,3.0,9.0,NOR 41,0.0,0.0,Spencer Rattler pass complete short left to Cedrick Wilson for 7 yards (tackle by Ja'Quan McMillian),0.5,-0.19,7.0,2024,93
1.0,10:33,4.0,2.0,NOR 48,0.0,0.0,"Matthew Hayball punts 52 yards, touchback.",-0.19,-0.28,7.0,2024,93
1.0,10:32,1.0,10.0,DEN 20,0.0,0.0,Bo Nix pass complete short left to Marvin Mims for 7 yards (tackle by Marshon Lattimore),0.28,0.68,7.0,2024,93
1.0,10:03,2.0,3.0,DEN 27,0.0,0.0,Audric Estime left tackle for 6 yards (tackle by Khristian Boyd),0.68,1.14,7.0,2024,93
1.0,9:18,1.0,10.0,DEN 33,0.0,0.0,Bo Nix pass complete short right to Devaughn Vele for 20 yards (tackle by Alontae Taylor),1.14,2.46,7.0,2024,93
1.0,8:37,1.0,10.0,NOR 47,0.0,0.0,Bo Nix pass complete short right to Troy Franklin for 2 yards (tackle by Jordan Howden),2.46,2.18,7.0,2024,93
1.0,8:06,2.0,8.0,NOR 45,0.0,0.0,Javonte Williams right guard for 10 yards (tackle by Paulson Adebo and Anfernee Orji),2.18,3.25,7.0,2024,93
1.0,7:40,1.0,10.0,NOR 35,0.0,0.0,Bo Nix pass complete short right to Javonte Williams for 6 yards (tackle by Demario Davis),3.25,3.51,7.0,2024,93
1.0,7:01,2.0,4.0,NOR 29,0.0,0.0,Jaleel McLaughlin left tackle for -2 yards (tackle by Anfernee Orji),3.51,2.54,7.0,2024,93
1.0,6:19,3.0,6.0,NOR 31,0.0,0.0,Bo Nix scrambles left end for 3 yards (tackle by Demario Davis),2.54,1.68,7.0,2024,93
1.0,5:32,4.0,3.0,NOR 28,3.0,0.0,Wil Lutz 46 yard field goal good,1.68,3.0,7.0,2024,93
1.0,5:28,,,DEN 35,3.0,0.0,"Wil Lutz kicks off 64 yards, returned by Jermaine Jackson for 31 yards (tackle by Michael Burton and Levelle Bailey)",0.0,1.07,7.0,2024,93
1.0,5:21,1.0,10.0,NOR 32,3.0,0.0,Alvin Kamara left end for no gain (tackle by Cody Barton),1.07,0.53,7.0,2024,93
1.0,4:53,2.0,10.0,NOR 32,3.0,0.0,Kendre Miller right guard for 8 yards (tackle by Brandon Jones),0.53,0.89,7.0,2024,93
1.0,4:20,3.0,2.0,NOR 40,3.0,0.0,Spencer Rattler pass complete short right to Bub Means for 10 yards,0.89,2.26,7.0,2024,93
1.0,3:51,1.0,10.0,NOR 50,3.0,0.0,"Spencer Rattler sacked by Cody Barton for no gain. Spencer Rattler fumbles (forced by Cody Barton), recovered by Kwon Alexander at DEN-45",2.26,-1.93,7.0,2024,93
1.0,3:39,1.0,10.0,DEN 45,3.0,0.0,Bo Nix pass complete short middle to Lucas Krull for 5 yards (tackle by Alontae Taylor),1.93,2.06,7.0,2024,93
1.0,3:02,2.0,5.0,DEN 50,3.0,0.0,Javonte Williams right guard for 4 yards (tackle by Paulson Adebo and Nathan Shepherd),2.06,1.88,7.0,2024,93
1.0,2:02,3.0,1.0,NOR 46,3.0,0.0,Bo Nix up the middle for 2 yards (tackle by Bryan Bresee),1.88,2.65,7.0,2024,93
1.0,1:37,1.0,10.0,NOR 44,3.0,0.0,Javonte Williams right tackle for 7 yards (tackle by Paulson Adebo and Cameron Jordan),2.65,3.06,7.0,2024,93
1.0,0:57,2.0,3.0,NOR 37,3.0,0.0,Javonte Williams left guard for 3 yards (tackle by Jordan Howden),3.06,3.31,7.0,2024,93
1.0,0:18,1.0,10.0,NOR 34,3.0,0.0,"Bo Nix pass incomplete short right intended for Courtland Sutton. Penalty on Paulson Adebo: Defensive Holding, 5 yards (accepted) (no play)",3.31,3.64,7.0,2024,93
1.0,0:13,1.0,10.0,NOR 29,3.0,0.0,Bo Nix pass complete short left to Troy Franklin for 12 yards (tackle by Demario Davis and Alontae Taylor),3.64,4.44,7.0,2024,93
2.0,15:00,1.0,10.0,NOR 17,3.0,0.0,Javonte Williams right end for 5 yards (tackle by Demario Davis and Paulson Adebo),4.44,4.69,7.0,2024,93
