Quarter,Time,Down,ToGo,Location,BAL,TAM,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Buccaneers won the coin toss, Buccaneers to receive the opening kickoff.",,,7.0,2024,106
1.0,15:00,,,BAL 35,0.0,0.0,"Justin Tucker kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,106
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Baker Mayfield scrambles up the middle for 6 yards (tackle by Roquan Smith and Eddie Jackson),0.94,1.2,7.0,2024,106
1.0,14:21,2.0,4.0,TAM 36,0.0,0.0,Rachaad White left guard for 1 yard (tackle by Trenton Simpson),1.2,0.63,7.0,2024,106
1.0,13:47,3.0,3.0,TAM 37,0.0,0.0,Baker Mayfield pass complete short left to Rachaad White for 18 yards (tackle by Odafe Oweh),0.63,2.59,7.0,2024,106
1.0,13:08,1.0,10.0,BAL 45,0.0,0.0,Rachaad White left tackle for 1 yard (tackle by Trenton Simpson and Odafe Oweh),2.59,2.18,7.0,2024,106
1.0,12:31,2.0,9.0,BAL 44,0.0,0.0,Bucky Irving right guard for 4 yards (tackle by Kyle Hamilton),2.18,2.01,7.0,2024,106
1.0,11:53,3.0,5.0,BAL 40,0.0,0.0,Bucky Irving right guard for 4 yards (tackle by Travis Jones and Roquan Smith),2.01,0.89,7.0,2024,106
1.0,11:12,4.0,1.0,BAL 36,0.0,0.0,Jalen McMillan left end for 11 yards (tackle by Nate Wiggins and Roquan Smith),0.89,3.91,7.0,2024,106
1.0,10:34,1.0,10.0,BAL 25,0.0,6.0,"Baker Mayfield pass complete deep left to Mike Evans for 25 yards, touchdown",3.91,7.0,7.0,2024,106
1.0,10:27,,,BAL 15,0.0,7.0,Chase McLaughlin kicks extra point good,0.0,0.0,7.0,2024,106
1.0,10:27,,,TAM 35,0.0,7.0,"Trenton Gill kicks off 65 yards, returned by Chris Collier for 35 yards (tackle by Ko Kieft)",0.0,1.27,7.0,2024,106
1.0,10:21,1.0,10.0,BAL 35,0.0,7.0,Derrick Henry right guard for 4 yards (tackle by Lavonte David),1.27,1.26,7.0,2024,106
1.0,9:42,2.0,6.0,BAL 39,0.0,7.0,Lamar Jackson left tackle for 11 yards (tackle by Antoine Winfield),1.26,2.26,7.0,2024,106
1.0,9:07,1.0,10.0,BAL 50,0.0,7.0,Lamar Jackson pass complete short left to Zay Flowers for 11 yards (tackle by Joe Tryon-Shoyinka),2.26,2.98,7.0,2024,106
1.0,8:26,1.0,10.0,TAM 39,0.0,7.0,Derrick Henry left end for -1 yards (tackle by Calijah Kancey),2.98,2.3,7.0,2024,106
1.0,7:42,2.0,11.0,TAM 40,0.0,7.0,Lamar Jackson sacked by YaYa Diaby for -8 yards,2.3,0.56,7.0,2024,106
1.0,6:58,3.0,19.0,TAM 48,0.0,7.0,Lamar Jackson sacked by Antoine Winfield for -9 yards,0.56,-0.52,7.0,2024,106
1.0,6:12,4.0,28.0,BAL 43,0.0,7.0,"Jordan Stout punts 57 yards, touchback.",-0.52,-0.28,7.0,2024,106
1.0,6:05,1.0,10.0,TAM 20,0.0,7.0,Baker Mayfield pass complete short right to Bucky Irving for 15 yards (tackle by Trenton Simpson),0.28,1.27,7.0,2024,106
1.0,5:25,1.0,10.0,TAM 35,0.0,7.0,Bucky Irving left guard for 2 yards (tackle by Brent Urban),1.27,0.99,7.0,2024,106
1.0,4:44,2.0,8.0,TAM 37,0.0,7.0,Baker Mayfield pass complete short middle to Chris Godwin for 6 yards (tackle by Marcus Williams and Michael Pierce),0.99,1.09,7.0,2024,106
1.0,4:03,3.0,2.0,TAM 43,0.0,7.0,"Baker Mayfield pass complete short left to Jalen McMillan for 8 yards (tackle by Marlon Humphrey and Roquan Smith). Penalty on Nnamdi Madubuike: Roughing the Passer, 15 yards (accepted)",1.09,3.31,7.0,2024,106
1.0,3:39,1.0,10.0,BAL 34,0.0,7.0,Rachaad White right guard for 7 yards (tackle by Eddie Jackson),3.31,3.72,7.0,2024,106
1.0,2:57,2.0,3.0,BAL 27,0.0,7.0,Bucky Irving left guard for 3 yards (tackle by Roquan Smith and Trenton Simpson),3.72,3.97,7.0,2024,106
