Unnamed: 0,CIN,CLE,week,year,game_id
First Downs,12,18,7.0,2024,98
Rush-Yds-TDs,25-59-0,21-77-1,7.0,2024,98
Cmp-Att-Yd-TD-INT,15-25-181-2-0,31-52-277-1-2,7.0,2024,98
Sacked-Yards,3-17,4-18,7.0,2024,98
Net Pass Yards,164,259,7.0,2024,98
Total Yards,223,336,7.0,2024,98
Fumbles-Lost,0-0,1-0,7.0,2024,98
Turnovers,0,2,7.0,2024,98
Penalties-Yards,3-37,10-80,7.0,2024,98
Third Down Conv.,2-13,8-19,7.0,2024,98
Fourth Down Conv.,0-1,1-2,7.0,2024,98
Time of Possession,25:31,34:29,7.0,2024,98
