Quarter,Time,Down,ToGo,Location,LVR,LAR,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Rams won the coin toss and deferred, Raiders to receive the opening kickoff.",,,7.0,2024,103
1.0,15:00,,,LAR 35,0.0,0.0,"Ethan Evans kicks off 65 yards, touchback.",0.0,0.94,7.0,2024,103
1.0,15:00,1.0,10.0,LVR 30,0.0,0.0,Aidan O'Connell pass complete short middle to Brock Bowers for 8 yards (tackle by Jared Verse and Quentin Lake),0.94,1.47,7.0,2024,103
1.0,14:21,2.0,2.0,LVR 38,0.0,0.0,Aidan O'Connell pass incomplete deep left intended for DJ Turner,1.47,0.76,7.0,2024,103
1.0,14:14,3.0,2.0,LVR 38,0.0,0.0,Aidan O'Connell pass complete short left to Brock Bowers for 5 yards (tackle by Kamren Curl),0.76,1.8,7.0,2024,103
1.0,13:41,1.0,10.0,LVR 43,0.0,0.0,Alexander Mattison left guard for 3 yards (tackle by Braden Fiske and Troy Reeder),1.8,1.66,7.0,2024,103
1.0,13:03,2.0,7.0,LVR 46,0.0,0.0,Alexander Mattison left guard for 3 yards (tackle by Byron Young and Michael Hoecht),1.66,1.35,7.0,2024,103
1.0,12:20,3.0,4.0,LVR 49,0.0,0.0,Aidan O'Connell pass incomplete short left intended for Tre Tucker,1.35,-0.13,7.0,2024,103
1.0,12:14,4.0,4.0,LVR 49,0.0,0.0,"AJ Cole punts 40 yards, fair catch by Xavier Smith at LA-11",-0.13,0.37,7.0,2024,103
1.0,12:07,1.0,10.0,LAR 11,0.0,0.0,Matthew Stafford pass complete short left to Tutu Atwell for 11 yards (tackle by Isaiah Pola-Mao),-0.37,0.41,7.0,2024,103
1.0,11:51,1.0,10.0,LAR 22,0.0,0.0,Matthew Stafford pass incomplete short left intended for Tutu Atwell,0.41,-0.13,7.0,2024,103
1.0,11:45,2.0,10.0,LAR 22,0.0,0.0,Matthew Stafford pass complete short middle to Tyler Johnson for 5 yards (tackle by Divine Deablo),-0.13,-0.16,7.0,2024,103
