Rk,Tm,G,Cmp,Att,Cmp%,Yds,TD,TD%,Int,Int%,Lng,Y/A,AY/A,Y/C,Y/G,Rate,Sk,Yds.1,Sk%,NY/A,ANY/A,4QC,GWD,EXP,year,week
1.0,Kansas City Chiefs,17.0,435.0,651.0,66.8,5062.0,41.0,6.3,12.0,1.8,67.0,8.1,8.5,12.1,297.8,104.7,26.0,188.0,3.8,7.5,7.9,4.0,4.0,232.54,2022,18
2.0,Tampa Bay Buccaneers,17.0,499.0,751.0,66.4,4586.0,26.0,3.5,10.0,1.3,63.0,6.3,6.4,9.5,269.8,89.8,22.0,160.0,2.8,5.9,6.0,4.0,5.0,80.72,2022,18
3.0,Los Angeles Chargers,17.0,485.0,711.0,68.2,4584.0,26.0,3.7,10.0,1.4,55.0,6.7,6.8,9.9,269.6,93.3,39.0,207.0,5.2,6.1,6.2,4.0,5.0,81.38,2022,18
4.0,Miami Dolphins,17.0,368.0,584.0,63.0,4511.0,30.0,5.1,15.0,2.6,84.0,8.2,8.0,12.9,265.4,95.0,35.0,254.0,5.7,7.3,7.2,2.0,3.0,102.99,2022,18
5.0,Minnesota Vikings,17.0,448.0,672.0,66.7,4484.0,30.0,4.5,15.0,2.2,66.0,7.2,7.1,10.8,263.8,93.1,47.0,334.0,6.5,6.2,6.1,8.0,8.0,121.85,2022,18
6.0,Detroit Lions,17.0,383.0,588.0,65.1,4281.0,29.0,4.9,7.0,1.2,81.0,7.6,8.0,11.6,251.8,99.3,24.0,163.0,3.9,7.0,7.4,3.0,3.0,173.06,2022,18
7.0,Cincinnati Bengals,16.0,418.0,610.0,68.5,4240.0,35.0,5.7,12.0,2.0,60.0,7.4,7.7,10.8,265.0,101.0,44.0,280.0,6.7,6.5,6.7,3.0,4.0,146.27,2022,18
8.0,Buffalo Bills,16.0,361.0,574.0,62.9,4129.0,35.0,6.1,14.0,2.4,98.0,7.5,7.6,11.9,258.1,95.8,33.0,162.0,5.4,6.8,6.9,3.0,4.0,129.14,2022,18
9.0,Philadelphia Eagles,17.0,350.0,536.0,65.3,4105.0,25.0,4.7,9.0,1.7,78.0,8.1,8.3,12.5,241.5,99.0,44.0,259.0,7.6,7.1,7.2,1.0,2.0,131.17,2022,18
10.0,Jacksonville Jaguars,17.0,394.0,596.0,66.1,3959.0,25.0,4.2,9.0,1.5,59.0,7.0,7.1,10.5,232.9,93.9,28.0,189.0,4.5,6.3,6.5,3.0,2.0,107.79,2022,18
