Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Unnamed: 7_level_0,Unnamed: 8_level_0,Rushing,Rushing,Rushing,Fantasy,Fantasy,Fantasy,Fantasy per Game,Fantasy per Game,Fantasy per Game
Tm,G,Cmp,Att,Yds,TD,Int,2PP,Sk,Att,Yds,TD,FantPt,DKPt,FDPt,FantPt,DKPt,FDPt
Washington Commanders,17,396,598,4627,39,8,1.0,39,62,292,1,352.68,383.3,360.3,20.7,22.5,21.2
Philadelphia Eagles,17,425,652,4551,35,9,3.0,42,61,318,2,349.94,378.8,358.8,20.6,22.3,21.1
Detroit Lions,17,371,588,4562,28,16,1.0,41,92,419,5,329.88,372.9,346.9,19.4,21.9,20.4
Arizona Cardinals,17,346,505,3829,32,11,1.0,32,73,353,5,320.56,343.5,331.5,18.9,20.2,19.5
Los Angeles Rams,17,367,604,4195,24,10,4.0,41,93,372,6,319.18,349.0,331.0,18.8,20.5,19.5
Jacksonville Jaguars,17,403,614,4362,27,15,1.0,40,80,341,5,314.88,359.9,332.4,18.5,21.2,19.6
Los Angeles Chargers,17,387,596,4568,25,9,,48,70,230,6,313.72,342.7,322.7,18.5,20.2,19.0
Atlanta Falcons,17,340,549,3707,24,8,1.0,41,91,436,6,308.18,330.2,319.2,18.1,19.4,18.8
Tampa Bay Buccaneers,17,404,611,4568,23,13,1.0,48,63,234,6,305.82,348.8,320.3,18.0,20.5,18.8
Miami Dolphins,17,379,567,4125,27,15,2.0,56,80,304,5,293.7,330.4,308.4,17.3,19.4,18.1
Houston Texans,17,381,564,4312,17,14,4.0,46,65,283,7,291.68,333.7,309.2,17.2,19.6,18.2
Cincinnati Bengals,17,363,553,4478,22,17,2.0,44,88,375,4,290.62,324.6,307.6,17.1,19.1,18.1
Denver Broncos,17,381,569,4288,29,11,1.0,42,65,245,2,290.02,317.0,301.0,17.1,18.6,17.7
Chicago Bears,17,410,617,4245,31,22,1.0,30,61,247,1,285.8,326.8,309.8,16.8,19.2,18.2
Seattle Seahawks,17,389,583,4247,20,11,1.0,46,87,437,3,283.58,313.6,294.6,16.7,18.4,17.3
Indianapolis Colts,17,370,567,4157,21,15,,51,72,353,6,283.22,316.0,298.5,16.7,18.6,17.6
Minnesota Vikings,17,425,605,4239,22,11,,42,74,268,4,280.06,306.1,292.1,16.5,18.0,17.2
Tennessee Titans,17,387,570,4181,20,6,1.0,45,62,217,2,261.04,280.9,266.9,15.4,16.5,15.7
New York Giants,17,371,582,4157,21,18,,34,50,252,4,257.78,296.7,276.7,15.2,17.5,16.3
Green Bay Packers,17,342,523,3803,21,7,1.0,44,83,419,1,256.92,281.9,264.4,15.1,16.6,15.6
Las Vegas Raiders,17,375,562,3889,21,13,,45,70,283,2,248.46,266.9,260.9,14.6,15.7,15.3
New England Patriots,17,369,573,3787,18,10,4.0,36,90,198,4,247.98,271.4,257.9,14.6,16.0,15.2
Pittsburgh Steelers,17,347,572,4158,22,16,3.0,47,60,274,0,247.92,277.7,263.7,14.6,16.3,15.5
New Orleans Saints,17,332,556,3755,22,18,2.0,34,72,392,2,247.4,276.4,265.4,14.6,16.3,15.6
Kansas City Chiefs,17,339,554,3353,19,8,,57,91,342,4,246.32,258.3,254.3,14.5,15.2,15.0
Dallas Cowboys,17,305,506,3418,21,17,,45,79,317,4,240.08,267.8,257.8,14.1,15.8,15.2
San Francisco 49ers,17,410,620,3949,20,22,1.0,48,86,332,2,237.16,267.2,259.2,14.0,15.7,15.2
Buffalo Bills,17,362,551,3658,18,18,1.0,53,77,336,4,235.92,262.9,253.9,13.9,15.5,14.9
Cleveland Browns,17,307,535,3149,23,18,1.0,49,72,251,5,227.16,254.1,245.1,13.4,14.9,14.4
Carolina Panthers,17,309,481,3109,19,8,1.0,27,69,124,3,219.16,226.1,225.1,12.9,13.3,13.2
Baltimore Ravens,17,384,634,3717,18,18,,60,55,285,1,209.18,235.2,227.7,12.3,13.8,13.4
New York Jets,17,313,522,3182,19,17,,48,73,311,2,206.78,229.4,223.4,12.2,13.5,13.1
