Unnamed: 0_level_0,Unnamed: 1_level_0,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Passing,Player_URL
Tm,G,Cmp,Att,Yds,Sk,PktTime,Bltz,Hrry,Hits,Prss,Prss%,Scrm,Yds/Scr,
Atlanta Falcons,17,364,559,4068,32,2.4,139,29,56,117,19.6%,7,4.3,
Buffalo Bills,17,329,520,3875,14,2.3,146,40,39,93,16.1%,42,8.9,
Carolina Panthers,17,341,547,3188,36,2.2,193,64,49,149,23.8%,43,6.8,
Chicago Bears,17,353,566,3086,68,2.4,174,52,40,160,23.4%,51,7.9,
Cincinnati Bengals,17,460,652,4640,48,2.2,164,38,69,155,21.5%,22,9.3,
Cleveland Browns,17,395,661,3506,66,2.4,159,47,80,193,25.3%,36,6.1,
Indianapolis Colts,17,289,513,3361,32,2.3,128,48,48,128,22.5%,24,8.8,
Arizona Cardinals,17,374,543,3639,30,2.4,157,47,23,100,16.3%,42,8.7,
Dallas Cowboys,17,398,637,3862,38,2.3,146,64,48,150,21.8%,12,6.0,
Denver Broncos,17,379,570,3610,24,2.5,150,44,34,102,15.8%,50,7.2,
Detroit Lions,17,399,551,4474,33,2.3,146,36,57,126,21.0%,15,4.7,
Green Bay Packers,17,308,479,3807,22,2.4,158,39,51,112,21.5%,19,8.6,
Houston Texans,17,357,570,3526,54,2.4,172,68,58,180,27.2%,38,6.9,
Jacksonville Jaguars,17,343,546,3477,32,2.4,133,22,35,89,14.7%,27,7.0,
Kansas City Chiefs,17,404,600,3780,41,2.3,143,47,75,163,24.0%,38,8.8,
Miami Dolphins,17,413,591,3737,43,2.1,90,38,37,118,17.9%,24,7.3,
Minnesota Vikings,17,364,548,4043,49,2.6,137,52,53,154,24.6%,28,7.9,
New Orleans Saints,17,340,551,3488,37,2.4,157,61,47,145,23.6%,27,7.3,
New England Patriots,17,342,529,2995,52,2.4,158,43,56,151,23.7%,56,8.7,
New York Giants,17,366,591,3228,48,2.4,138,50,76,174,26.1%,28,8.6,
New York Jets,17,385,607,3714,40,2.3,146,38,54,132,19.8%,18,6.4,
Tennessee Titans,17,336,530,3317,52,2.5,107,30,57,139,22.7%,30,7.4,
Philadelphia Eagles,17,303,448,3194,45,2.6,166,31,34,110,20.6%,42,9.0,
Pittsburgh Steelers,17,321,499,3264,49,2.4,140,38,61,148,25.3%,38,6.7,
Las Vegas Raiders,17,410,635,3797,50,2.3,181,58,55,163,23.1%,20,6.1,
Los Angeles Rams,17,367,559,3868,31,2.3,157,31,68,130,21.9%,4,10.8,
Baltimore Ravens,17,318,477,4035,24,2.5,163,54,32,110,20.1%,45,9.0,
Los Angeles Chargers,17,336,510,3629,44,2.5,158,20,62,126,21.5%,33,10.0,
Seattle Seahawks,17,413,593,4020,54,2.4,139,38,59,151,22.5%,25,10.3,
San Francisco 49ers,17,349,533,4234,36,2.4,160,42,42,120,19.4%,49,6.7,
Tampa Bay Buccaneers,17,408,571,4257,40,2.2,175,49,20,109,16.6%,44,8.7,
Washington Commanders,17,365,525,3665,50,2.4,171,41,30,121,18.6%,77,8.0,
