Unnamed: 0,CHI,HOU,week,year,game_id
First Downs,15,15,2.0,2024,31
Rush-Yds-TDs,22-71-1,22-75-0,2.0,2024,31
Cmp-Att-Yd-TD-INT,23-37-174-0-2,23-36-260-1-0,2.0,2024,31
Sacked-Yards,7-40,3-25,2.0,2024,31
Net Pass Yards,134,235,2.0,2024,31
Total Yards,205,310,2.0,2024,31
Fumbles-Lost,0-0,1-1,2.0,2024,31
Turnovers,2,1,2.0,2024,31
Penalties-Yards,9-60,12-115,2.0,2024,31
Third Down Conv.,6-17,4-14,2.0,2024,31
Fourth Down Conv.,1-2,1-1,2.0,2024,31
Time of Possession,31:13,28:47,2.0,2024,31
