Quarter,Time,Down,ToGo,Location,ATL,PHI,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Falcons won the coin toss and deferred, Eagles to receive the opening kickoff.",,,2.0,2024,32
1.0,15:00,,,ATL 35,0.0,0.0,"Bradley Pinion kicks off 59 yards, returned by Will Shipley for 27 yards (tackle by KhaDarel Hodge)",0.0,1.14,2.0,2024,32
1.0,14:54,1.0,10.0,PHI 33,0.0,0.0,Jalen Hurts pass complete short middle to Grant Calcaterra for 15 yards (tackle by Jessie Bates),1.14,2.13,2.0,2024,32
1.0,14:19,1.0,10.0,PHI 48,0.0,0.0,"Jalen Hurts pass complete short right to Britain Covey for no gain (tackle by AJ Terrell). Penalty on Cam Jurgens: Ineligible Downfield Pass, 5 yards (accepted) (no play)",2.13,1.8,2.0,2024,32
1.0,13:55,1.0,15.0,PHI 43,0.0,0.0,Jalen Hurts left end for 1 yard (tackle by Mike Hughes),1.8,1.04,2.0,2024,32
1.0,13:25,2.0,14.0,PHI 44,0.0,0.0,Jalen Hurts pass complete short left to Britain Covey for 4 yards (tackle by Justin Simmons),1.04,0.89,2.0,2024,32
1.0,12:48,3.0,10.0,PHI 48,0.0,0.0,Jalen Hurts right guard for 4 yards (tackle by Troy Andersen),0.89,0.07,2.0,2024,32
1.0,12:10,4.0,6.0,ATL 48,0.0,0.0,Braden Mann punts 40 yards downed by Will Shipley,0.07,0.38,2.0,2024,32
1.0,12:00,1.0,10.0,ATL 8,0.0,0.0,Bijan Robinson left guard for 7 yards (tackle by Zack Baun and C.J. Gardner-Johnson),-0.38,-0.21,2.0,2024,32
1.0,11:33,2.0,3.0,ATL 15,0.0,0.0,Bijan Robinson right tackle for 7 yards (tackle by Quinyon Mitchell and Josh Sweat),-0.21,0.41,2.0,2024,32
1.0,11:00,1.0,10.0,ATL 22,0.0,0.0,Kirk Cousins pass incomplete short middle intended for Darnell Mooney (defended by Jordan Davis),0.41,-0.13,2.0,2024,32
1.0,10:54,2.0,10.0,ATL 22,0.0,0.0,Kirk Cousins pass complete short right to Drake London for 6 yards (tackle by Darius Slay and Nakobe Dean),-0.13,-0.03,2.0,2024,32
