Quarter,Time,Down,ToGo,Location,TAM,DET,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Lions won the coin toss and deferred, Buccaneers to receive the opening kickoff.",,,2.0,2024,22
1.0,15:00,,,DET 35,0.0,0.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
1.0,15:00,1.0,10.0,TAM 30,0.0,0.0,Baker Mayfield pass complete short left to Chris Godwin for 1 yard (tackle by Derrick Barnes),0.94,0.53,2.0,2024,22
1.0,14:22,2.0,9.0,TAM 31,0.0,0.0,Baker Mayfield pass complete short middle to Chris Godwin for 18 yards (tackle by Carlton Davis),0.53,2.19,2.0,2024,22
1.0,13:39,1.0,10.0,TAM 49,0.0,0.0,Rachaad White right tackle for 5 yards (tackle by Carlton Davis),2.19,2.32,2.0,2024,22
1.0,13:01,2.0,5.0,DET 46,0.0,0.0,"Baker Mayfield pass incomplete deep left intended for Trey Palmer. Penalty on Terrion Arnold: Defensive Pass Interference, 41 yards (accepted) (no play)",2.32,6.06,2.0,2024,22
1.0,12:54,1.0,5.0,DET 5,0.0,0.0,Rachaad White up the middle for 2 yards (tackle by Brian Branch),6.06,5.53,2.0,2024,22
1.0,12:19,2.0,3.0,DET 3,0.0,0.0,Baker Mayfield pass incomplete short middle intended for Cade Otton (defended by Brian Branch),5.53,4.72,2.0,2024,22
1.0,12:16,3.0,3.0,DET 3,0.0,0.0,"Baker Mayfield sacked by Aidan Hutchinson for -9 yards. Baker Mayfield fumbles (forced by Aidan Hutchinson), recovered by Justin Skule at DET-12",4.72,2.63,2.0,2024,22
1.0,11:34,4.0,12.0,DET 12,3.0,0.0,Chase McLaughlin 30 yard field goal good,2.63,3.0,2.0,2024,22
1.0,11:31,,,TAM 35,3.0,0.0,"Jake Camarda kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
1.0,11:31,1.0,10.0,DET 30,3.0,0.0,Jared Goff pass deep middle intended for Jameson Williams is intercepted by Zyon McCollum at DET-48 and returned for 4 yards (tackle by Amon-Ra St. Brown),0.94,-2.65,2.0,2024,22
1.0,11:20,1.0,10.0,DET 44,3.0,0.0,"Penalty on Cody Mauch: False Start, 5 yards (accepted) (no play)",2.65,2.32,2.0,2024,22
1.0,11:20,1.0,15.0,DET 49,3.0,0.0,Rachaad White left tackle for 5 yards (tackle by Alex Anzalone),2.32,2.11,2.0,2024,22
1.0,10:35,2.0,10.0,DET 44,3.0,0.0,Baker Mayfield sacked by Aidan Hutchinson for -12 yards,2.11,-0.16,2.0,2024,22
1.0,9:52,3.0,22.0,TAM 44,3.0,0.0,Baker Mayfield pass complete short right to Chris Godwin for 19 yards (tackle by Carlton Davis),-0.16,0.79,2.0,2024,22
1.0,9:05,4.0,3.0,DET 37,6.0,0.0,Chase McLaughlin 55 yard field goal good,0.79,3.0,2.0,2024,22
1.0,9:00,,,TAM 35,6.0,0.0,"Jake Camarda kicks off 66 yards, returned by Tom Kennedy for 31 yards (tackle by Tavierre Thomas)",0.0,0.94,2.0,2024,22
1.0,8:55,1.0,10.0,DET 30,6.0,0.0,Jared Goff pass complete deep right to Jameson Williams for 50 yards (tackle by Jamel Dean),0.94,4.24,2.0,2024,22
1.0,8:08,1.0,10.0,TAM 20,6.0,0.0,"Jared Goff pass incomplete deep left intended for Sam LaPorta. Penalty on YaYa Diaby: Roughing the Passer, 10 yards (accepted) (no play)",4.24,4.91,2.0,2024,22
1.0,8:01,1.0,10.0,TAM 10,6.0,0.0,Jared Goff pass incomplete short right,4.91,4.19,2.0,2024,22
1.0,7:56,2.0,10.0,TAM 10,6.0,0.0,David Montgomery right tackle for 7 yards (tackle by Jordan Whitehead),4.19,4.72,2.0,2024,22
1.0,7:17,3.0,3.0,TAM 3,6.0,0.0,Jared Goff pass incomplete short right intended for Jameson Williams,4.72,3.04,2.0,2024,22
1.0,7:16,4.0,3.0,TAM 3,6.0,3.0,Jake Bates 22 yard field goal good,3.04,3.0,2.0,2024,22
1.0,7:13,,,DET 35,6.0,3.0,"Jake Bates kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,22
1.0,7:13,1.0,10.0,TAM 30,6.0,3.0,Baker Mayfield pass incomplete short middle intended for Mike Evans,0.94,0.39,2.0,2024,22
1.0,7:07,2.0,10.0,TAM 30,6.0,3.0,Baker Mayfield scrambles up the middle for 12 yards (tackle by Brian Branch),0.39,1.73,2.0,2024,22
1.0,6:22,1.0,10.0,TAM 42,6.0,3.0,Bucky Irving left tackle for 2 yards (tackle by Derrick Barnes),1.73,1.46,2.0,2024,22
1.0,5:42,2.0,8.0,TAM 44,6.0,3.0,Baker Mayfield pass incomplete deep right intended for Chris Godwin (defended by Amik Robertson),1.46,0.76,2.0,2024,22
1.0,5:38,3.0,8.0,TAM 44,6.0,3.0,Baker Mayfield sacked by Aidan Hutchinson for -7 yards,0.76,-0.91,2.0,2024,22
