Quarter,Time,Down,ToGo,Location,PIT,DEN,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Steelers won the coin toss and deferred, Broncos to receive the opening kickoff.",,,2.0,2024,30
1.0,15:00,,,PIT 35,0.0,0.0,"Chris Boswell kicks off 65 yards, touchback.",0.0,0.94,2.0,2024,30
1.0,15:00,1.0,10.0,DEN 30,0.0,0.0,Javonte Williams left guard for 3 yards (tackle by Keeanu Benton and Larry Ogunjobi),0.94,0.8,2.0,2024,30
1.0,14:28,2.0,7.0,DEN 33,0.0,0.0,Jaleel McLaughlin right end for -3 yards (tackle by Alex Highsmith and Patrick Queen),0.8,-0.3,2.0,2024,30
1.0,13:46,3.0,10.0,DEN 30,0.0,0.0,Bo Nix pass complete short left to Greg Dulcich for 7 yards (tackle by Minkah Fitzpatrick),-0.3,-0.91,2.0,2024,30
1.0,13:09,4.0,3.0,DEN 37,0.0,0.0,"Riley Dixon punts 53 yards, returned by Calvin Austin for 14 yards (tackle by Keidron Smith)",-0.91,-0.54,2.0,2024,30
1.0,12:59,1.0,10.0,PIT 24,0.0,0.0,Najee Harris right guard for 1 yard (tackle by John Franklin-Myers),0.54,0.13,2.0,2024,30
1.0,12:23,2.0,9.0,PIT 25,0.0,0.0,Justin Fields pass incomplete short left intended for Najee Harris,0.13,-0.56,2.0,2024,30
1.0,12:19,3.0,9.0,PIT 25,0.0,0.0,Justin Fields scrambles right tackle for 7 yards (tackle by Brandon Jones),-0.56,-1.24,2.0,2024,30
1.0,11:38,4.0,2.0,PIT 32,0.0,0.0,Corliss Waitman punts 53 yards out of bounds,-1.24,0.22,2.0,2024,30
1.0,11:31,1.0,10.0,DEN 15,0.0,0.0,Bo Nix pass complete short middle to Javonte Williams for 6 yards (tackle by Alex Highsmith),-0.22,0.21,2.0,2024,30
1.0,10:55,2.0,4.0,DEN 21,0.0,0.0,Jaleel McLaughlin left tackle for 2 yards (tackle by Larry Ogunjobi),0.21,-0.39,2.0,2024,30
