Quarter,Time,Down,ToGo,Location,NOR,DAL,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Cowboys won the coin toss and deferred, Saints to receive the opening kickoff.",,,2.0,2024,21
1.0,15:00,,,DAL 35,0.0,0.0,"Brandon Aubrey kicks off 65 yards, touchback.",0.0,0.28,2.0,2024,21
1.0,15:00,1.0,10.0,NOR 20,0.0,0.0,Alvin Kamara right end for 1 yard (tackle by Micah Parsons),0.28,-0.13,2.0,2024,21
1.0,14:20,2.0,9.0,NOR 21,0.0,0.0,Rashid Shaheed left end for 7 yards (tackle by Caelen Carson),-0.13,0.1,2.0,2024,21
1.0,13:38,3.0,2.0,NOR 28,0.0,0.0,Derek Carr pass complete short left to Rashid Shaheed for 17 yards (tackle by Caelen Carson),0.1,1.93,2.0,2024,21
1.0,13:01,1.0,10.0,NOR 45,0.0,0.0,Taysom Hill right tackle for 2 yards (tackle by Marist Liufau and Eric Kendricks),1.93,1.65,2.0,2024,21
1.0,12:17,2.0,8.0,NOR 47,0.0,0.0,Derek Carr pass complete short middle to Rashid Shaheed for 9 yards (tackle by Damone Clark),1.65,2.65,2.0,2024,21
1.0,11:34,,,,,,Timeout #1 by New Orleans Saints,,,2.0,2024,21
1.0,11:34,1.0,10.0,DAL 44,0.0,0.0,Derek Carr pass complete deep right to Chris Olave for 39 yards (tackle by Trevon Diggs),2.65,6.06,2.0,2024,21
1.0,10:54,1.0,5.0,DAL 5,6.0,0.0,"Alvin Kamara right tackle for 5 yards, touchdown",6.06,7.0,2.0,2024,21
1.0,10:50,,,DAL 15,7.0,0.0,Blake Grupe kicks extra point good,0.0,0.0,2.0,2024,21
1.0,10:50,,,NOR 35,7.0,0.0,"Blake Grupe kicks off 66 yards, returned by Juanyeh Thomas for 22 yards (tackle by Willie Gay and Isaiah Foskey)",0.0,0.34,2.0,2024,21
1.0,10:44,1.0,10.0,DAL 21,7.0,0.0,Dak Prescott pass complete short left to CeeDee Lamb for 4 yards (tackle by Kool-Aid McKinstry),0.34,0.34,2.0,2024,21
1.0,10:12,2.0,6.0,DAL 25,7.0,0.0,Rico Dowdle right guard for 6 yards (tackle by Demario Davis),0.34,1.0,2.0,2024,21
1.0,9:40,1.0,10.0,DAL 31,7.0,0.0,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Pete Werner),1.0,1.54,2.0,2024,21
1.0,9:10,2.0,2.0,DAL 39,7.0,0.0,Dak Prescott pass complete short right to Luke Schoonmaker for 8 yards (tackle by Willie Gay),1.54,2.06,2.0,2024,21
1.0,8:36,1.0,10.0,DAL 47,7.0,0.0,Deuce Vaughn right tackle for 2 yards (tackle by Carl Granderson and Nathan Shepherd),2.06,1.79,2.0,2024,21
