Unnamed: 0,BUF,MIA,week,year,game_id
First Downs,13,20,2.0,2024,17
Rush-Yds-TDs,26-108-2,34-139-0,2.0,2024,17
Cmp-Att-Yd-TD-INT,13-19-139-1-0,25-39-225-1-3,2.0,2024,17
Sacked-Yards,0-0,2-13,2.0,2024,17
Net Pass Yards,139,212,2.0,2024,17
Total Yards,247,351,2.0,2024,17
Fumbles-Lost,1-0,0-0,2.0,2024,17
Turnovers,0,3,2.0,2024,17
Penalties-Yards,1-5,7-50,2.0,2024,17
Third Down Conv.,3-9,7-15,2.0,2024,17
Fourth Down Conv.,1-1,1-5,2.0,2024,17
Time of Possession,23:41,36:19,2.0,2024,17
