Quarter,Time,Down,ToGo,Location,CLE,JAX,Detail,EPB,EPA,week,year,game_id
,,,,,,,"Browns won the coin toss and deferred, Jaguars to receive the opening kickoff.",,,2.0,2024,19
1.0,15:00,,,CLE 35,0.0,0.0,"Dustin Hopkins kicks off 57 yards, returned by Devin Duvernay for 12 yards (tackle by Khaleke Hudson)",0.0,0.28,2.0,2024,19
1.0,14:55,1.0,10.0,JAX 20,0.0,0.0,Trevor Lawrence pass complete short middle to Brenton Strange for 9 yards (tackle by Jordan Hicks and Grant Delpit),0.28,0.95,2.0,2024,19
1.0,14:24,2.0,1.0,JAX 29,0.0,0.0,Travis Etienne up the middle for -2 yards (tackle by Grant Delpit),0.95,-0.03,2.0,2024,19
1.0,13:45,3.0,3.0,JAX 27,0.0,0.0,"Penalty on Myles Garrett: Neutral Zone Infraction, 5 yards (accepted) (no play)",-0.03,1.07,2.0,2024,19
1.0,13:27,1.0,10.0,JAX 32,0.0,0.0,Travis Etienne up the middle for 5 yards (tackle by Grant Delpit),1.07,1.2,2.0,2024,19
1.0,12:48,2.0,5.0,JAX 37,0.0,0.0,Trevor Lawrence pass complete short left to Travis Etienne for -2 yards (tackle by Cameron Mitchell and Martin Emerson),1.2,0.23,2.0,2024,19
1.0,12:02,3.0,7.0,JAX 35,0.0,0.0,Trevor Lawrence pass incomplete deep right intended for Gabriel Davis,0.23,-1.04,2.0,2024,19
1.0,11:57,4.0,7.0,JAX 35,0.0,0.0,"Logan Cooke punts 55 yards, returned by James Proche for 1 yard (tackle by Yasir Abdullah)",-1.04,0.37,2.0,2024,19
1.0,11:43,1.0,10.0,CLE 11,0.0,0.0,D'Onta Foreman left end for 8 yards (tackle by Montaric Brown and Andre Cisco),-0.37,0.17,2.0,2024,19
1.0,11:06,2.0,2.0,CLE 19,0.0,0.0,Deshaun Watson pass complete short middle to Elijah Moore for 9 yards (tackle by Andre Cisco),0.17,0.81,2.0,2024,19
1.0,10:33,1.0,10.0,CLE 28,0.0,0.0,D'Onta Foreman up the middle for 5 yards (tackle by Montaric Brown),0.81,0.94,2.0,2024,19
1.0,9:59,2.0,5.0,CLE 33,0.0,0.0,Deshaun Watson pass complete short right to Jerome Ford for no gain (tackle by DaVon Hamilton),0.94,0.23,2.0,2024,19
1.0,9:06,3.0,5.0,CLE 33,0.0,0.0,Deshaun Watson pass complete short left to Elijah Moore for 22 yards (tackle by Jarrian Jones),0.23,2.59,2.0,2024,19
1.0,8:30,1.0,10.0,JAX 45,0.0,0.0,"Jerry Jeudy left end for no gain (tackle by Montaric Brown). Penalty on James Hudson: Offensive Holding, 10 yards (accepted) (no play)",2.59,1.93,2.0,2024,19
1.0,8:17,1.0,20.0,CLE 45,0.0,0.0,Deshaun Watson pass incomplete short right intended for Amari Cooper (defended by Ronald Darby),1.93,0.69,2.0,2024,19
1.0,8:12,2.0,20.0,CLE 45,0.0,0.0,Deshaun Watson pass complete deep right to Jerry Jeudy for 21 yards (tackle by Antonio Johnson),0.69,3.31,2.0,2024,19
1.0,7:38,1.0,10.0,JAX 34,0.0,0.0,Deshaun Watson pass complete short left to Jerry Jeudy for 9 yards (tackle by Montaric Brown),3.31,3.99,2.0,2024,19
1.0,7:04,2.0,1.0,JAX 25,0.0,0.0,Jerome Ford up the middle for 1 yard (tackle by Jeremiah Ledbetter and Foyesade Oluokun),3.99,3.97,2.0,2024,19
